scenario,seed,baseline,mpc_improvement_percent
A,0,tuned,0.7100656935766029
A,0,naive,20.480830950980916
A,1,tuned,0.6877880736070038
A,1,naive,20.45202597584717
A,2,tuned,0.6796929668179291
A,2,naive,20.518779425219254
A,3,tuned,0.6827651178429982
A,3,naive,20.15757922379276
A,4,tuned,0.6910101752937294
A,4,naive,20.28547404759736
B,0,tuned,1.7031056238185127
B,0,naive,38.362761813728355
B,1,tuned,1.5200254593378453
B,1,naive,36.769393121963844
B,2,tuned,1.6743878226630462
B,2,naive,38.162623262504994
B,3,tuned,1.6581560676299238
B,3,naive,35.70379547488055
B,4,tuned,1.620573079249127
B,4,naive,36.780983807933566
C,0,tuned,5.779621917616787
C,0,naive,42.16677388988556
C,1,tuned,5.285456333568677
C,1,naive,41.38738674987941
C,2,tuned,5.864514051068723
C,2,naive,42.708875753281475
C,3,tuned,5.517814171617391
C,3,naive,40.52888184319174
C,4,tuned,5.348727754950111
C,4,naive,41.12080659546226
