scenario,demand_scale,recovery_fraction_it_mean,recovery_fraction_it_sd,mpc_improvement_percent_mean,mpc_improvement_percent_sd
A,0.5,0.04960584903694052,0.0008758268290308897,0.8247897019831821,0.008773786483629194
A,1.0,0.10073969077258349,0.0017288936384176874,0.6900339459025202,0.01176265155677413
A,2.0,0.17760098181343517,0.002021384131569375,1.2325019718801953,0.018091251494407292
A,3.0,0.23216224604449004,0.0023484927194458074,1.5048594992500206,0.027351488527215754
A,5.0,0.3175358736391206,0.0019455681222503582,2.2759638939990308,0.0354608652368382
B,0.5,0.03832294781047594,9.991309320891018e-05,1.0559507242901955,0.10518525495851251
B,1.0,0.07687773534230276,0.00014566496137081834,1.6377709110623457,0.06517365723601706
B,2.0,0.15492945732065483,0.00020963019252355112,2.134286701883002,0.07922020650138224
B,3.0,0.2315556149812421,0.0003006836267131824,2.457183313100239,0.06831011011333327
B,5.0,0.37528050333357027,0.00034650514982819894,3.2057983311416507,0.039636545525973496
C,0.5,0.0464698444874102,0.00012836064697072547,4.69329778153377,0.12633071357704254
C,1.0,0.0931089596289919,0.00010226376144639746,5.559558308684246,0.2530572414311224
C,2.0,0.18482440822566465,0.0002810079183683693,5.778720073377944,0.27698224131744215
C,3.0,0.2805834541848561,0.00033840439676669664,6.351946415851888,0.23400365675538579
C,5.0,0.38448571188527014,0.00029759534778404516,3.529388656369381,0.04501682535135728
