run_id,study_group,scenario,city,controller,seed,days,demand_scale,perfect_forecast,parameter_draw,recovery_fraction_it,recovery_fraction_captured,it_heat_mwh,captured_mwh,absorbed_mwh,compressor_mwh,dhw_delivered_mwh,process_delivered_mwh,dhw_hp_mwh,process_hp_mwh,absorption_heat_mwh,absorption_cooling_mwh,orc_heat_mwh,orc_electric_mwh,store_charge_mwh,store_charge_commanded_mwh,store_discharge_mwh,store_discharge_dhw_mwh,store_discharge_process_mwh,dumped_heat_mwh,surplus_cooling_mwh,store_net_change_mwh,store_standing_loss_mwh,buffer_net_change_mwh,buffer_standing_loss_mwh,rejected_mwh,unmet_demand_percent,fallback_demand_percent,cooling_electric_saving_percent,net_cost_inr,max_source_residual_kw,max_hp_residual_kw,max_store_residual_kw,max_buffer_residual_kw,max_service_residual_kw,max_balance_residual_kw,mpc_solves,mpc_time_limited_solves,parameters_json
sweep__A__mpc__seed0__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,mpc,0,30,0.5,False,-1,0.0490934423191275,0.070133489027325,2488.7906894790817,1742.153482635357,122.18330215832296,44.875734619765424,54.17199182684774,27.03534432946204,11.3609337894,7.758131583355675,83.71110547183271,53.13987043140116,0.0177441999999999,0.0010294446205596,64.19507646449155,64.2111217335,63.85308690144653,43.46229248601725,20.390794415429284,1.7808613869008818,2.655888127019096,-0.2294718052227067,0.5714613682677303,0.125,0.2283681524982908,1619.616812324536,0.0,18.087216549369,7.468348588982685,5317729.48402518,0.0,2.842170943040401e-13,4.818367926873179e-13,7.815970093361102e-14,1.2789769243681806e-13,4.818367926873179e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed0__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,mpc,0,30,3.0,False,-1,0.2315550442799821,0.3307929203999745,2057.4003033027075,1440.180212311895,476.4014183329072,147.1481264604545,468.6372429843166,129.76960831780912,408.53844618524994,94.60537939250412,0.4174236879824999,0.3105496451337477,0.0,0.0,119.5384424897938,119.988295527625,119.60463035155394,73.75014041862774,45.85448993292619,24.791457665013624,0.0,-0.6650270777856058,0.5988392160254926,0.125,0.2283681524982908,963.4254258264898,0.0,30.62459621768446,33.24263370658509,5383471.653904583,0.0,3.410605131648481e-13,4.831690603168681e-13,7.815970093361102e-14,2.842170943040401e-13,4.831690603168681e-13,1440,2,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__mpc__seed1__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,mpc,1,30,0.5,False,-1,0.0495515022255827,0.070787860322261,2485.7953327856485,1740.0567329499538,123.17489296487116,45.2145340936115,54.207151466986645,26.947023818529225,12.204237103545,7.253115420177663,84.74584363923499,54.22288918999971,0.001700076025,0.0001059479181267,64.16978168920996,64.1845308195,63.45773960896358,42.66598299450036,20.79175661446321,1.7756659774604018,2.116146910494729,0.147237629770618,0.564804450475772,0.125,0.2283681524982908,1616.5284718325845,0.0,17.63114699326674,7.529199676970121,5315820.103649318,0.0,2.273736754432321e-13,4.807265696626928e-13,7.815970093361102e-14,1.4210854715202006e-13,4.807265696626928e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed1__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,mpc,1,30,3.0,False,-1,0.2313633407154625,0.3305190581649466,2054.9241417694693,1438.4468992386282,475.43411435663927,146.88819916943902,468.9300595964092,129.34571438321,403.532151556625,94.64287029910332,0.552409064975,0.4103559496820262,0.0,0.0,123.02551926813248,123.594882605375,123.1917411080726,77.83752951478867,45.35421159328392,23.660352321424245,0.0,-0.7556504601318702,0.5894286201917658,0.125,0.2283681524982908,962.659416729491,0.0,30.6217917390406,32.93785522783193,5452803.856927625,0.0,3.410605131648481e-13,4.828359934094806e-13,7.815970093361102e-14,2.842170943040401e-13,4.828359934094806e-13,1440,3,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__mpc__seed2__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,mpc,2,30,0.5,False,-1,0.0485950618517315,0.069421516931045,2491.379377552548,1743.965564286783,121.06873494829452,44.30555067916208,54.40466915312616,27.011326602612275,11.847640852775,7.756833999079076,81.3807572158525,52.15611388988868,0.008031463,0.0005190283771614,64.36575464642421,64.38102209675,63.625898899803566,43.25880193759735,20.36709696220622,1.829645446244996,2.075627589741276,0.1655004388374125,0.5743553077832371,0.125,0.2283681524982908,1622.5434611859905,0.0,18.52392950471385,7.387806323371232,5314322.189760966,0.0,2.273736754432321e-13,4.810596365700803e-13,7.815970093361102e-14,1.5631940186722204e-13,4.810596365700803e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed2__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,mpc,2,30,3.0,False,-1,0.2318840465517001,0.3312629236452859,2059.540285443439,1441.6781998104077,477.5745354248683,147.54431376199278,470.6366950709848,129.65392526239148,407.6448845851225,95.18468342571369,0.3904323843,0.2904463769238559,0.0,0.0,121.3499466745414,121.898848791725,121.38490246659924,76.08981081541107,45.295091651188166,24.472752261242675,0.0,-0.6245146010485453,0.5895588089907143,0.125,0.2283681524982908,963.7502962330408,0.0,30.44332167139004,32.943276886380545,5374509.485319329,0.0,4.547473508864641e-13,4.823919041996305e-13,7.815970093361102e-14,3.410605131648481e-13,4.823919041996305e-13,1440,3,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__mpc__seed3__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,mpc,3,30,0.5,False,-1,0.0509126774173724,0.0727323963105321,2486.60709767094,1740.6249683696583,126.59982502746942,46.78742646099697,54.08444508552707,27.043562599614585,11.66223500874,7.628696262051375,89.873965262925,57.374867576751306,0.01639548125,0.0010524421924359,64.1871143754152,64.2059594735,63.598530553937664,43.101235377679856,20.497295176257808,1.780299237672175,2.2643941417905915,0.0181306671472574,0.5704531543302847,0.125,0.2283681524982908,1613.6717751896908,0.0,16.741547846436937,7.746378347626768,5366208.480709754,0.0,2.273736754432321e-13,4.827249711070183e-13,7.815970093361102e-14,1.4210854715202006e-13,4.827249711070183e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed3__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,mpc,3,30,3.0,False,-1,0.2311656309793833,0.3302366156848333,2055.5952007413107,1438.9166405189176,475.1829616175572,146.79287880390507,467.9093362495271,129.80827622004264,400.4784586834999,94.37971368696674,0.5985497028955,0.4435508948297755,0.0,0.0,125.94348214142828,126.5191183481,126.01953539638096,80.12767941562636,45.891855980754585,23.73573150394969,0.0,-0.6615650035942079,0.5855117486415374,0.125,0.2283681524982908,963.380310748862,0.0,31.169152866876868,32.98265463605248,5564696.666993525,0.0,4.547473508864641e-13,4.82058837292243e-13,7.815970093361102e-14,2.842170943040401e-13,4.82058837292243e-13,1440,4,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__mpc__seed4__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,mpc,4,30,0.5,False,-1,0.0498765613708885,0.0712522305298408,2489.521795274158,1742.6652566919108,124.1687866061562,45.73004069919419,54.42234365122223,26.913234843389617,11.800896981664998,7.967483919960399,86.19224291984999,55.29883959581282,0.0009926458,6.291168601857827e-05,63.92226050121131,63.937210838075,63.330817607356366,43.26500498635304,20.06581262100332,1.7785703512335942,1.9631150642740207,0.0157246023339182,0.5757182915210469,0.125,0.2283681524982908,1618.1431019332565,0.0,17.561898186502134,7.604275574792904,5347338.863545248,0.0,2.273736754432321e-13,4.811706588725428e-13,7.815970093361102e-14,1.2789769243681806e-13,4.811706588725428e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed4__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,mpc,4,30,3.0,False,-1,0.2318100123796825,0.3311571605424036,2058.004684093304,1440.603278865313,477.06609129711353,147.3207865398908,470.7963597132325,129.1831767516846,406.3634533105,94.34925782456833,0.499097688236,0.3684682580898822,0.0,0.0,122.83861711530686,123.1750690137,122.9712354570592,77.61805905399984,45.353176403059386,24.040862025603527,0.0020759229369393,-0.7219838340140042,0.5893654922616473,0.125,0.2283681524982908,963.1838194157012,0.0,30.919852090871736,33.26557917086314,5488041.806497474,0.0,5.115907697472721e-13,4.829470157119431e-13,7.815970093361102e-14,2.557953848736361e-13,5.115907697472721e-13,1440,3,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
