scenario,seed,captured_mwh,absorbed_mwh,compressor_mwh,dhw_delivered_mwh,process_delivered_mwh,dhw_hp_mwh,process_hp_mwh,absorption_heat_mwh,orc_heat_mwh,store_net_change_mwh,store_charge_mwh,store_discharge_mwh,dumped_heat_mwh,absorption_cooling_mwh,surplus_cooling_mwh,it_heat_mwh,store_standing_loss_mwh,buffer_net_change_mwh,buffer_standing_loss_mwh,rejected_mwh,closure_residual_mwh,store_closure_residual_mwh,service_closure_residual_mwh,max_timestep_residual_kw
A,4,1742.6652566919108,252.00445813345223,93.19210173426404,108.84468728895848,53.82646961259405,49.486575531789,15.696516030761988,178.99579696503275,0.0,-0.3927758102354441,100.98062373310046,100.85443535363552,3.403417621666032,114.83840588103531,4.192028951521525,2489.521795274158,0.5189641897003827,0.125,0.2283681524982908,1490.3074304059603,1.4233059175694507e-13,-3.552713678800501e-15,1.9095836023552692e-14,4.818367926873179e-13
A,0,1742.153482635357,248.38972676716705,91.63155512350258,108.34398368085698,54.07068865771321,49.97069505498251,15.832494587817108,173.95321341836998,0.0054070895,-0.3635926914088366,100.22223538658568,100.06440985937542,3.4901635170191376,110.57441266070576,5.483861761985786,2488.7906894790817,0.5214182186191094,0.125,0.2283681524982908,1493.410387715692,-5.397904345727511e-13,-9.103828801926284e-15,3.552713678800501e-15,4.830580380144056e-13
A,1,1740.0567329499538,250.0283835701256,92.36264683339988,108.41430299145222,53.89404766941165,49.8977926789675,15.602965942770988,176.63432282738697,0.0,-0.3735791842041077,100.23251665161465,100.08550540935764,3.3013456730176234,113.15739572226867,4.408631416785547,2485.7953327856485,0.5205904264611061,0.125,0.2283681524982908,1489.67498122733,-8.504308368628699e-14,9.769962616701378e-15,-5.861977570020827e-14,4.82058837292243e-13
A,2,1743.965564286783,245.89688053856028,90.51160651716091,108.80933834283844,54.01841484861955,49.35111516914259,15.795697794686076,170.2096252898925,0.0,-0.6146693558334008,100.98836049632573,101.08330971882894,3.4660577968738995,109.07086532485526,4.49089443911555,2491.379377552548,0.5197201333301777,0.125,0.2283681524982908,1497.7153155957249,-8.504308368628699e-14,5.662137425588298e-15,1.2434497875801753e-14,4.799494135454552e-13
A,3,1740.6249683696583,256.95637723100543,95.43233788094594,108.17640311000532,54.08712517350257,49.21635488441,15.993884174420977,186.3486063836204,0.01400001825,-0.3209038749767487,100.77930110468296,100.57955075133673,3.562830073226808,118.99071427353648,4.776439840983389,2486.60709767094,0.520654228323019,0.125,0.2283681524982908,1483.3152229861548,-5.397904345727511e-13,-3.808064974464287e-14,5.46229728115577e-14,4.810596365700803e-13
B,3,1438.9166405189176,157.99900797487385,48.36149646274747,155.1285371351955,43.16152679628289,61.5821002655,26.83867976159241,0.5283276259214176,0.003433206375,-0.63808928438844,117.3039709129806,117.43751702801605,7.672225788881947,0.3702175944734226,0.0231620500126173,2055.5952007413107,0.5045431693530096,0.125,0.2283681524982908,1280.5642643915453,1.4233059175694507e-13,-1.2878587085651816e-14,1.2434497875801753e-14,4.826139488045555e-13
B,1,1438.4468992386282,157.93932493982948,48.27908944623319,155.51281525563675,42.96270581029234,64.78228011224999,26.41470857022132,0.3414470752413194,0.0017105133249999,-0.6642157845213273,114.5924485040363,114.73665604818132,7.543943275712261,0.2450867803345588,0.0091912008383904,2054.9241417694693,0.5200082403762967,0.125,0.2283681524982908,1280.1542061463008,-3.1241675912951905e-13,1.2101430968414206e-14,-8.881784197001252e-15,4.831690603168681e-13
B,2,1441.6781998104077,158.3652451408662,48.40556295128887,155.9363239411277,42.96924548657705,68.07067621375,26.50854249855726,0.2875362601478117,0.0,-0.6363327538655872,111.70768073401769,111.8109597263631,7.68098139664792,0.2079893033292302,0.0058206643507282,2059.540285443439,0.5330537615201629,0.125,0.2283681524982908,1282.959586517043,3.6970426720017713e-13,1.532107773982716e-14,2.6645352591003757e-15,4.831690603168681e-13
B,4,1440.603278865313,158.6114289783013,48.50302271881893,156.10408164602924,42.83185424709316,65.810613446,26.63239829028761,0.3980732859075983,0.009982872,-0.688784501282285,114.18603746144684,114.35445049228952,7.938872676932874,0.2887792051142395,0.0066342796192887,2058.004684093304,0.5203714704396006,0.125,0.2283681524982908,1281.638481734513,3.6970426720017713e-13,1.2656542480726785e-14,1.4210854715202004e-14,4.828359934094806e-13
B,0,1440.180212311895,157.76956268275418,48.2099222187681,155.35732615158875,43.025106691785375,67.76159837200001,26.346685085248268,0.2160754624239953,0.00303510775,-0.6730977042620122,111.56830493359864,111.7029320023026,7.512568556678079,0.1576855021000013,0.0030299579170326,2057.4003033027075,0.53847063555804,0.125,0.2283681524982908,1282.0572814766426,-8.504308368628699e-14,8.770761894538737e-15,1.1546319456101628e-14,4.811706588725428e-13
C,3,1624.583303811681,216.23846844962023,65.87800737871888,196.18683621961915,75.72197527012611,147.09054021,33.413423602764105,1.10803746385,0.0162068616,-0.2572992747743772,100.4863968198715,100.30776089834856,8.904784091620874,0.8305062237758146,0.0001418572860471,2320.833291159544,0.4359351962973403,0.125,0.2283681524982908,1407.9914672095626,-3.1241675912951905e-13,-2.348121697082206e-14,2.3092638912203256e-14,4.826139488045555e-13
C,4,1626.48757291245,216.45458701704223,65.828289921775,197.41629750666064,75.3569891956923,145.82212191699998,32.277864352274754,1.1894825671425,0.017233615,-0.3428901245482024,102.97617447681252,102.8871591734796,8.213858750988882,0.8889966884262755,0.0025658783629016,2323.5536755892144,0.4319054278811218,0.125,0.2283681524982908,1409.6796177429096,1.4233059175694507e-13,-5.218048215738236e-15,-4.796163466380676e-14,4.82280881897168e-13
C,2,1627.7011933343313,216.8827789913853,65.94100922718253,197.3576113592939,75.63171441515578,143.3105164475,32.49078150768113,0.8762069710117008,0.018457013,0.400501337045659,106.12709724460676,105.3131062743806,8.125807489880286,0.6564139147950527,0.0028581078906522,2325.2874190490447,0.4134896331805013,0.125,0.2283681524982908,1410.4650461904475,1.4233059175694507e-13,-2.6645352591003757e-15,-4.085620730620576e-14,4.807265696626928e-13
C,1,1624.05295075329,215.92085515227507,65.70275932668875,196.61424463639176,75.45166670384549,145.53062791449997,32.80205713613132,0.9295816194575,0.01671293325,-0.1876503416065177,102.34277985174346,102.0940068462036,8.362635580479214,0.6955928254180478,0.0023998356895735,2320.075643933272,0.4364233471463565,0.125,0.2283681524982908,1407.778727448517,-8.504308368628699e-14,2.1260770921571748e-14,7.105427357601002e-15,4.806155473602305e-13
C,0,1626.0099171263334,215.84607080628163,65.59699124367998,196.5016578958732,75.69853413080617,141.68681250100002,32.145157606913145,0.7998269150734486,0.013094280375,-0.496572834325056,106.7716959703885,106.84461045945972,8.502863316905009,0.6011763470434712,0.0,2322.8713101804765,0.4236583452538363,0.125,0.2283681524982908,1409.8104781675534,-8.504308368628699e-14,1.049160758270773e-14,-4.440892098500626e-14,4.826139488045555e-13
