run_id,error
sweep__A__mpc__seed0__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed1__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed2__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed3__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed4__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100091__days30__scale1__perfect0__draw9,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed0__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed1__days30__scale0.5__perfect0__drawnone,ValueError: simultaneous store charge and discharge is forbidden
sweep__B__mpc__seed2__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed3__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed4__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed0__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed1__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed2__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed3__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed4__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed0__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100000__days30__scale1__perfect0__draw0,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed1__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed2__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100001__days30__scale1__perfect0__draw0,ValueError: thermal store SOC bound exceeded
monte_carlo__C__mpc__seed100132__days30__scale1__perfect0__draw13,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100270__days30__scale1__perfect0__draw27,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed3__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__B__mpc__seed4__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__C__mpc__seed100002__days30__scale1__perfect0__draw0,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100010__days30__scale1__perfect0__draw1,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100011__days30__scale1__perfect0__draw1,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed0__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed1__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed2__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed3__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed4__days30__scale1__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100041__days30__scale1__perfect0__draw4,ValueError: thermal store SOC bound exceeded
monte_carlo__C__mpc__seed100172__days30__scale1__perfect0__draw17,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100310__days30__scale1__perfect0__draw31,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100441__days30__scale1__perfect0__draw44,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed0__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__C__mpc__seed0__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100050__days30__scale1__perfect0__draw5,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100181__days30__scale1__perfect0__draw18,ValueError: thermal store SOC bound exceeded
monte_carlo__C__mpc__seed100312__days30__scale1__perfect0__draw31,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed1__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed2__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed3__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__C__mpc__seed3__days30__scale0.5__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
sweep__A__mpc__seed4__days30__scale2__perfect0__drawnone,ValueError: thermal store SOC bound exceeded
monte_carlo__A__mpc__seed100060__days30__scale1__perfect0__draw6,ValueError: thermal store SOC bound exceeded
monte_carlo__B__mpc__seed100061__days30__scale1__perfect0__draw6,ValueError: thermal store SOC bound exceeded
