controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,116.4895,33.51046,150,1,150,0,0,0,0,0,999.8426,0.4999213,0.6296853,500,0,249.9603,0.1586165,1662.601,0,0,0,0,55.99831,498.9874,364.0122,134.9751,409.7831,0,819.5661,0,-1.421085e-14,1.669775e-13,7.81597e-14,56.74595,0,0,150,0,93.25405,0,0
mpc,2026-01-05 00:15:00,1,0.25,33.20247,3267.547,47.76979,0,63.75339,1,1,2287.283,2286.807,0,0,0,0,0,0,0,0,0,47.76979,987.7427,0.4938714,0.6295862,0.4757993,0,250,0.3171828,2286.807,0,0,0,0,63.75339,497.481,497.3775,0.1034857,511.2438,0,1022.488,0,0,-1.64313e-14,4.996004e-15,47.76979,0,0,300,0,0,0,0
mpc,2026-01-05 00:30:00,2,0.5,33.03106,3235.011,51.79997,4.110644,33.22831,1,1,2264.508,2264.19,0,0,0,0,0,0,0,0,0,51.79997,974.6372,0.4873186,0.6219671,0.3172331,0,250,0.3172331,2264.19,0,0,0,4.110644,33.22831,490.5159,490.4472,0.06871599,497.6448,0,1002.381,0,0,1.505462e-13,4.263256e-14,51.79997,0,0,52.25787,0,0,0,0
mpc,2026-01-05 00:45:00,3,0.75,32.79322,3201.395,56.56748,2.191848,26.90758,1,1,2240.976,2240.659,0,0,0,0,0,0,0,0,0,52.25787,961.4194,0.4807097,0.6137148,0.3172331,0,250,0.3172331,2240.659,0,0,4.309607,2.191848,26.90758,482.6835,482.6151,0.06832877,488.4108,0,988.0365,0,0,1.277867e-13,4.263256e-14,52.25787,0,0,52.25787,0,0,0,0
mpc,2026-01-05 01:00:00,4,1,32.47743,3198.195,51.30221,3.777692,49.74903,1,1,2238.736,2238.419,0,0,0,0,0,0,0,0,0,52.87784,948.0485,0.4740243,0.6053917,0.3172331,0,250,0.3172331,2238.419,0,0,0,2.202069,49.74903,478.6199,478.552,0.06782132,489.1879,0,982.1743,0,0,-4.440892e-15,4.263256e-14,51.30221,1.575623,0,54.79642,0,0,0,2.664535e-15
mpc,2026-01-05 01:15:00,5,1.25,32.28589,3240.208,55.94951,6.274472,35.9778,1,1,2268.146,2267.828,0,0,0,0,0,0,0,0,0,54.79642,934.2002,0.4671001,0.5969723,0.3172331,0,250,0.3172331,2267.828,0,0,2.728714,4.698848,35.9778,482.7329,482.6653,0.0675172,490.3226,0,993.4577,0,0,-1.899592e-13,4.263256e-14,53.2208,1.575623,0,54.79642,0,0,0,2.664535e-15
mpc,2026-01-05 01:30:00,6,1.5,32.22374,3190.189,60.9267,6.646545,27.08737,1,1,2233.132,2232.815,0,0,0,0,0,0,0,0,0,56.0816,920.0327,0.4600164,0.5882522,0.3172331,0,250,0.3172331,2232.815,0,0,7.570879,3.920769,27.08737,474.5903,474.5229,0.0674191,480.2796,0,980.3823,0,0,-1.700862e-13,4.263256e-14,53.35582,2.725776,0,56.0816,0,0,0,-1.332268e-15
mpc,2026-01-05 01:45:00,7,1.75,32.12122,3170.411,53.56366,5.24665,28.18256,1,1,2219.288,2218.97,0,0,0,0,0,0,0,0,0,56.0816,905.8675,0.4529338,0.5793311,0.3172331,0,250,0.3172331,2218.97,0,0,0.2078433,2.520874,28.18256,470.5205,470.4532,0.06725791,476.4283,0,957.5636,0,0,1.807443e-13,4.263256e-14,53.35582,2.725776,0,56.0816,0,0,0,-1.332268e-15
mpc,2026-01-05 02:00:00,8,2,31.81182,3137.399,59.27388,1.537075,26.9443,1,1,2196.179,2195.862,0,0,0,0,0,0,0,0,0,55.86524,891.7586,0.4458793,0.5704115,0.3172331,0,250,0.3172331,2195.862,0,0,4.945716,0,26.9443,462.2854,462.2186,0.06677607,467.8902,0,944.3118,0,0,-1.627587e-13,4.263256e-14,54.32816,1.537075,0,57.85914,0,0,0,-1.776357e-15
mpc,2026-01-05 02:15:00,9,2.25,31.44127,3126.691,65.01409,3.711207,47.67062,1,1,2188.684,2188.367,0,0,0,0,0,0,0,0,0,57.85914,877.1534,0.4385767,0.5615273,0.3172331,0,250,0.3172331,2188.367,0,0,10.68593,0.1802252,47.67062,456.7885,456.7223,0.06620802,466.6714,0,952.087,0,0,9.836576e-14,4.263256e-14,54.32816,3.530982,0,57.85914,0,0,0,2.664535e-15
