controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,300,924.8426,0.4624213,0.6296853,500,0,249.9603,0.1586165,1023.961,240.3392,48.9294,0,0,0,498.9874,224.1874,274.7999,616.2799,0,1177.514,0,-5.684342e-14,1.669775e-13,7.81597e-14
naive,2026-01-05 00:15:00,1,0.25,33.15168,3260.277,60.65282,2.62313,52.80688,1,1,2282.194,2281.718,570.294,310.6077,880.9017,2,0,0,80.90174,800,0,56.74595,910.5105,0.4552553,0.5823598,0.4757993,0,250,0.3171828,1711.424,56.20944,49.27249,3.906866,2.62313,0,495.7718,371.7808,123.991,682.3885,0,1320.61,0,5.684342e-14,8.615331e-14,4.996004e-15
naive,2026-01-05 00:30:00,2,0.5,32.84409,3244.893,65.81759,7.061584,47.38483,1,1,2271.425,2271.108,568.5914,309.8571,878.4485,2,0,0,78.44849,800,0,60.01095,895.3644,0.4476822,0.5733351,0.3172331,0,250,0.3172331,1702.516,54.698,49.59601,7.118204,5.750019,0,489.8321,367.1471,122.685,677.0042,0,1320.411,0,0,2.022826e-13,4.263256e-14
naive,2026-01-05 00:45:00,3,0.75,32.27802,3232.864,39.52147,5.198882,42.88347,1,1,2263.005,2262.688,566.1561,308.7836,874.9396,2,0,0,74.93965,800,0,64.30036,879.1484,0.4395742,0.5637979,0.3172331,0,250,0.3172331,1696.532,52.59083,50.19136,0,1.970643,0,481.5501,361.0089,120.5412,669.7925,0,1286.519,0,5.684342e-14,-6.006307e-14,4.263256e-14
naive,2026-01-05 01:00:00,4,1,32.27355,3187.421,58.44981,5.934162,34.80839,1,1,2231.195,2230.878,563.7378,307.7175,871.4553,2,0,0,71.4553,800,0,59.40536,864.1587,0.4320793,0.5535869,0.3172331,0,250,0.3172331,1667.14,50.14815,50.19606,2.765351,2.213263,0,474.7315,354.7175,120.014,662.435,0,1276.987,0,5.684342e-14,1.099121e-14,4.263256e-14
naive,2026-01-05 01:15:00,5,1.25,32.18681,3197.388,62.02386,2.317562,36.48545,1,1,2238.171,2237.854,560.6854,306.3718,867.0572,2,0,0,67.05717,800,0,60.40108,848.9223,0.4244612,0.544148,0.3172331,0,250,0.3172331,1677.169,47.10803,50.28729,5.786332,0,0,475.2511,356.1283,119.1227,662.5001,0,1278.408,0,5.684342e-14,-4.174439e-14,4.263256e-14
naive,2026-01-05 01:30:00,6,1.5,31.91432,3196.414,64.14531,0.1858969,38.72286,1,1,2237.49,2237.173,558.926,305.5962,864.5221,2,0,0,64.52213,800,0,61.0578,833.5243,0.4167621,0.534554,0.3172331,0,250,0.3172331,1678.247,45.46781,50.57388,6.943393,0,0,472.1016,354.1034,117.9981,659.6996,0,1274.481,0,0,5.440093e-15,4.263256e-14
naive,2026-01-05 01:45:00,7,1.75,31.79392,3165.562,68.32985,2.68479,36.97049,1,1,2215.894,2215.576,557.9696,305.1746,863.1442,2,0,0,63.1442,800,0,61.52543,818.0117,0.4090058,0.524858,0.3172331,0,250,0.3172331,1657.607,44.55762,50.70051,10.13602,0,0,466.2419,348.7739,117.4681,653.9484,0,1268.343,0,0,1.009193e-13,4.263256e-14
naive,2026-01-05 02:00:00,8,2,31.61747,3165.574,69.96874,4.903266,32.77179,1,1,2215.902,2215.584,557.0294,304.7601,861.7895,2,0,0,61.78951,800,0,62.71158,802.205,0.4011025,0.51509,0.3172331,0,250,0.3172331,1658.555,43.68891,50.8861,10.50791,1.652515,0,464.3473,347.554,116.7933,652.3141,0,1268.358,0,-5.684342e-14,2.162714e-13,4.263256e-14
naive,2026-01-05 02:15:00,9,2.25,31.34235,3194.987,73.07785,4.848383,22.9131,1,1,2236.491,2236.173,555.8282,304.2305,860.0588,2,0,0,60.05875,800,0,64.06274,786.0631,0.3930315,0.5051367,0.3172331,0,250,0.3172331,1680.345,42.59734,51.17545,12.44947,1.414019,0,465.7083,349.9012,115.8071,654.1317,0,1274.606,0,5.684342e-14,-1.865175e-14,4.263256e-14
