controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,1166.069,0,0,0,0,55.99831,498.9874,255.3009,243.6865,454.5398,0,909.0797,0,-2.842171e-14,-2.877698e-13,7.81597e-14
tuned,2026-01-05 00:15:00,1,0.25,33.32645,3232.988,58.61814,6.213082,59.46133,1,1,2263.091,2262.615,432.3672,124.3788,556.746,2,56.74595,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1830.248,0,0,1.872185,6.213082,59.46133,493.6838,399.2609,94.42287,536.6109,0,1087.169,0,0,4.448664e-13,4.996004e-15
tuned,2026-01-05 00:30:00,2,0.5,33.11289,3211.192,58.40728,8.029265,85.3992,1,1,2247.834,2247.517,435.2502,125.5384,560.7886,2,57.68204,3.106541,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1812.267,0,0,0.7252337,4.922724,85.3992,487.8555,393.3227,94.53276,537.3956,0,1084.534,0,0,-2.415845e-13,4.263256e-14
tuned,2026-01-05 00:45:00,3,0.75,32.69077,3233.136,65.72539,2.979407,73.35505,1,1,2263.195,2262.878,116.0976,33.90242,150,1,57.92379,4.747449,0,0,87.32876,0,1396.085,0.6980423,0.8654828,0.3172331,0,250,0.3172331,2146.78,0,0,7.801599,0,73.35505,486.2887,461.2749,25.01385,510.939,0,1035.336,0,-7.105427e-15,1.260103e-13,4.263256e-14
tuned,2026-01-05 01:00:00,4,1,32.56385,3279.278,67.58697,0,60.89136,1,1,2295.494,2295.177,116.1341,33.86592,150,1,59.87419,4.305438,0,0,85.82037,0,1417.32,0.70866,0.879094,0.3172331,0,250,0.3172331,2179.043,0,0,7.712778,0,60.89136,491.7536,466.8067,24.94685,513.7171,0,1040.739,0,0,3.174128e-13,4.263256e-14
tuned,2026-01-05 01:15:00,5,1.25,32.38204,3248.623,66.5161,0.9241232,56.94888,1,1,2274.036,2273.719,116.2052,33.79483,150,1,61.41674,3.444351,0,0,85.13891,0,1438.382,0.7191908,0.8924656,0.3172331,0,250,0.3172331,2157.513,0,0,5.099356,0,56.94888,485.0784,460.2228,24.85559,506.1655,0,1021.127,0,-7.105427e-15,1.090239e-13,4.263256e-14
tuned,2026-01-05 01:30:00,6,1.5,32.07912,3263.32,57.38532,0,58.96542,1,1,2284.324,2284.007,116.2398,33.76015,150,1,62.26664,3.024313,0,0,84.70905,0,1459.332,0.7296662,0.9057278,0.3172331,0,250,0.3172331,2167.767,0,0,0,0,58.96542,483.834,459.1465,24.68751,505.3959,0,1010.792,0,-1.421085e-14,-1.815215e-13,4.263256e-14
tuned,2026-01-05 01:45:00,7,1.75,31.9312,3181.943,53.22336,0,57.92406,1,1,2227.36,2227.043,116.2755,33.72448,150,1,61.56931,2.592268,0,0,85.83843,0,1480.562,0.7402811,0.9189202,0.3172331,0,250,0.3172331,2110.767,0,0,0,0,57.92406,470.1484,445.5381,24.61025,491.4892,0,982.9783,0,-7.105427e-15,-2.478018e-13,4.263256e-14
tuned,2026-01-05 02:00:00,8,2,31.76352,3156.18,60.22619,2.225969,52.49967,1,1,2209.326,2209.009,116.3023,33.69773,150,1,60.52606,2.268235,0,0,87.2057,0,1502.131,0.7510653,0.9322883,0.3172331,0,250,0.3172331,2092.706,0,0,0,0,52.49967,464.5332,440.0128,24.52044,484.7491,0,969.4983,0,0,3.836931e-13,4.263256e-14
tuned,2026-01-05 02:15:00,9,2.25,31.59644,3192.006,59.66186,5.604414,40.37968,1,1,2234.404,2234.087,116.3027,33.69734,150,1,60.49274,2.263538,0,0,87.24372,0,1523.705,0.7618525,0.9458696,0.3172331,0,250,0.3172331,2117.784,0,0,0,3.340876,40.37968,467.9977,443.5716,24.42613,485.7265,0,977.2159,0,0,-1.897371e-13,4.263256e-14
