controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,1166.069,0,0,0,0,55.99831,498.9874,255.3009,243.6865,454.5398,0,909.0797,0,-2.842171e-14,-2.877698e-13,7.81597e-14,56.74595,0,0,0,500,243.254,0,0
tuned,2026-01-05 00:15:00,1,0.25,33.15168,3260.277,60.65282,2.62313,52.80688,1,1,2282.194,2281.718,432.3672,124.3788,556.746,2,56.74595,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1849.351,0,0,3.906866,2.62313,52.80688,495.7718,401.7433,94.02854,537.5935,0,1086.451,0,0,4.448664e-13,4.996004e-15,56.74595,0,0,0,500,0,0,0
tuned,2026-01-05 00:30:00,2,0.5,32.84409,3244.893,65.81759,7.061584,47.38483,1,1,2271.425,2271.108,434.7945,125.2164,560.0109,2,58.69938,1.311565,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1836.313,0,0,7.118204,5.750019,47.38483,489.8321,396.0003,93.83171,531.4353,0,1085.068,0,-1.421085e-14,-2.415845e-13,4.263256e-14,58.69938,1.311565,0,0,500,0,0,0
tuned,2026-01-05 00:45:00,3,0.75,32.27802,3232.864,39.52147,5.198882,42.88347,1,1,2263.005,2262.688,116.223,33.77699,150,1,61.07212,3.228238,0,0,85.69964,0,1395.677,0.6978387,0.8654828,0.3172331,0,250,0.3172331,2146.465,0,0,0,1.970643,42.88347,481.5501,456.7512,24.79887,499.6535,0,1002.706,0,0,-2.718936e-13,4.263256e-14,39.52147,3.228238,0,0,85.69964,21.55065,0,7.105427e-15
tuned,2026-01-05 01:00:00,4,1,32.27355,3187.421,58.44981,5.934162,34.80839,1,1,2231.195,2230.878,116.1823,33.81766,150,1,55.68446,3.720899,0,0,90.59464,0,1418.106,0.7090531,0.8788375,0.3172331,0,250,0.3172331,2114.695,0,0,2.765351,2.213263,34.80839,474.7315,449.9439,24.78762,491.1678,0,990.9236,0,0,-2.726708e-13,4.263256e-14,55.68446,3.720899,0,0,90.59464,0,0,0
tuned,2026-01-05 01:15:00,5,1.25,32.18681,3197.388,62.02386,2.317562,36.48545,1,1,2238.171,2237.854,116.1458,33.85421,150,1,56.23753,4.163552,0,0,89.59892,0,1440.283,0.7201414,0.8929607,0.3172331,0,250,0.3172331,2121.708,0,0,5.786332,0,36.48545,475.2511,450.5214,24.72964,492.1229,0,994.2272,0,7.105427e-15,-4.207745e-14,4.263256e-14,56.23753,2.317562,0,0,89.59892,1.845989,0,-1.776357e-15
tuned,2026-01-05 01:30:00,6,1.5,31.91432,3196.414,64.14531,0.1858969,38.72286,1,1,2237.49,2237.173,116.1712,33.82881,150,1,57.20192,3.855887,0,0,88.9422,0,1462.292,0.7311458,0.9069249,0.3172331,0,250,0.3172331,2121.001,0,0,6.943393,0,38.72286,472.1016,447.523,24.5786,489.5221,0,991.0216,0,-2.131628e-14,2.792211e-13,4.263256e-14,57.20192,0.1858969,0,0,88.9422,3.66999,0,6.217249e-15
tuned,2026-01-05 01:45:00,7,1.75,31.79392,3165.562,68.32985,2.68479,36.97049,1,1,2215.894,2215.576,116.2145,33.78552,150,1,58.19383,3.331602,0,0,88.47457,0,1484.18,0.74209,0.9207836,0.3172331,0,250,0.3172331,2099.362,0,0,10.13602,0,36.97049,466.2419,441.7227,24.51922,483.2871,0,984.0589,0,-7.105427e-15,-2.499112e-13,4.263256e-14,58.19383,2.68479,0,0,88.47457,0.646813,0,-5.77316e-15
tuned,2026-01-05 02:00:00,8,2,31.61747,3165.574,69.96874,4.903266,32.77179,1,1,2215.902,2215.584,116.2212,33.77885,150,1,59.46083,3.250751,0,0,87.28842,0,1505.768,0.7528842,0.9345664,0.3172331,0,250,0.3172331,2099.363,0,0,10.50791,1.652515,32.77179,464.3473,439.9264,24.42089,480.5726,0,982.122,0,0,7.427392e-14,4.263256e-14,59.46083,3.250751,0,0,87.28842,0,0,0
tuned,2026-01-05 02:15:00,9,2.25,31.34235,3194.987,73.07785,4.848383,22.9131,1,1,2236.491,2236.173,116.206,33.79401,150,1,60.62838,3.434364,0,0,85.93726,0,1527.016,0.7635079,0.9481603,0.3172331,0,250,0.3172331,2119.967,0,0,12.44947,1.414019,22.9131,465.7083,441.4445,24.26383,480.0097,0,983.934,0,-7.105427e-15,-2.201572e-13,4.263256e-14,60.62838,3.434364,0,0,85.93726,0,0,0
