controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,116.4895,33.51046,150,1,150,0,0,0,0,0,999.8426,0.4999213,0.6296853,500,0,249.9603,0.1586165,1267.559,0,0,0,0,28.67395,351.0231,236.163,114.8602,275.0157,0,550.0315,0,-1.421085e-14,1.669775e-13,7.81597e-14,81.81974,0,0,150,0,68.18026,0,0
mpc,2026-01-05 00:15:00,1,0.25,26.04387,2701.172,68.87737,0,32.85648,1,1,1890.82,1890.345,0,0,0,0,0,0,0,0,0,68.87737,982.4658,0.4912329,0.6295862,0.4757993,0,250,0.3171828,1890.345,0,0,0,0,32.85648,351.116,351.0276,0.08835356,357.1289,0,714.2578,0,0,-1.585398e-13,4.996004e-15,68.87737,0,0,300,0,0,0,0
mpc,2026-01-05 00:30:00,2,0.5,25.984,2674.276,74.68833,3.288515,17.88226,1,1,1871.993,1871.676,0,0,0,0,0,0,0,0,0,74.68833,963.6391,0.4818195,0.6186443,0.3172331,0,250,0.3172331,1871.676,0,0,0,3.288515,17.88226,347.1951,347.1363,0.05883664,350.4529,0,706.5784,0,0,1.154632e-13,4.263256e-14,74.68833,0,0,75.34856,0,0,0,0
mpc,2026-01-05 00:45:00,3,0.75,25.85574,2646.486,81.56241,1.753479,14.99617,1,1,1852.541,1852.223,0,0,0,0,0,0,0,0,0,75.34856,944.6503,0.4723251,0.6067894,0.3172331,0,250,0.3172331,1852.223,0,0,6.213851,1.753479,14.99617,342.6907,342.632,0.05868309,345.406,0,704.5557,0,0,1.065814e-13,4.263256e-14,75.34856,0,0,75.34856,0,0,0,0
mpc,2026-01-05 01:00:00,4,1,25.64712,2643.841,73.97063,3.022154,26.679,1,1,1850.689,1850.371,0,0,0,0,0,0,0,0,0,75.23113,925.6938,0.4628469,0.5948324,0.3172331,0,250,0.3172331,1850.371,0,0,0,1.761655,26.679,340.9009,340.8425,0.05843503,345.7568,0,694.5525,0,0,-8.326673e-15,4.263256e-14,73.97063,1.260499,0,77.99746,0,0,0,5.329071e-15
mpc,2026-01-05 01:15:00,5,1.25,25.55989,2678.572,80.67139,5.019577,20.0445,1,1,1875,1874.683,0,0,0,0,0,0,0,0,0,77.99746,906.0487,0.4530243,0.5828958,0.3172331,0,250,0.3172331,1874.683,0,0,3.934425,3.759079,20.0445,344.7698,344.7115,0.05833194,348.3972,0,710.0658,0,0,-1.472156e-13,4.263256e-14,76.73696,1.260499,0,77.99746,0,0,0,5.329071e-15
mpc,2026-01-05 01:30:00,6,1.5,25.59874,2637.223,87.8478,5.317236,15.8401,1,1,1846.056,1845.739,0,0,0,0,0,0,0,0,0,79.11227,886.128,0.443064,0.5705256,0.3172331,0,250,0.3172331,1845.739,0,0,10.91615,3.136615,15.8401,339.7145,339.6561,0.0583778,342.5711,0,709.3832,0,0,1.981748e-13,4.263256e-14,76.93165,2.180621,0,79.11227,0,0,0,-6.217249e-15
mpc,2026-01-05 01:45:00,7,1.75,25.59347,2620.873,77.23133,4.19732,16.61841,1,1,1834.611,1834.294,0,0,0,0,0,0,0,0,0,79.11227,866.2104,0.4331052,0.5579818,0.3172331,0,250,0.3172331,1834.294,0,0,0.2996815,2.016699,16.61841,337.5724,337.5141,0.05837158,340.5719,0,685.1395,0,0,-8.915091e-14,4.263256e-14,76.93165,2.180621,0,79.11227,0,0,0,-6.217249e-15
mpc,2026-01-05 02:00:00,8,2,25.37715,2593.583,85.46466,1.22966,16.21975,1,1,1815.508,1815.191,0,0,0,0,0,0,0,0,0,79.56329,846.1832,0.4230916,0.54544,0.3172331,0,250,0.3172331,1815.191,0,0,7.131032,0,16.21975,332.6012,332.5431,0.05811712,335.5145,0,683.3301,0,0,1.776357e-13,4.263256e-14,78.33363,1.22966,0,81.15841,0,0,0,7.105427e-15
mpc,2026-01-05 02:15:00,9,2.25,25.09513,2584.732,93.74125,2.968965,26.79273,1,1,1809.312,1808.995,0,0,0,0,0,0,0,0,0,81.15841,825.7604,0.4128802,0.5328292,0.3172331,0,250,0.3172331,1808.995,0,0,15.40762,0.1441802,26.79273,329.5929,329.5351,0.05778869,334.4158,0,695.6585,0,0,1.189049e-13,4.263256e-14,78.33363,2.824785,0,81.15841,0,0,0,-6.217249e-15
mpc,2026-01-05 02:30:00,10,2.5,24.90546,2601.048,75.25515,3.849449,22.19186,1,1,1820.733,1820.416,0,0,0,0,0,0,0,0,0,77.93484,806.1467,0.4030734,0.5199692,0.3172331,0,250,0.3172331,1820.416,0,0,0,1.169758,22.19186,32.7732,32.76749,0.005710195,36.79476,0,75.60736,0,0,3.663736e-15,4.263256e-14,75.25515,2.679691,0,83.26718,0,0,0,-5.329071e-15
