controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,81.81974,979.3876,0.4896938,0.6296853,500,0,249.9603,0.1586165,628.9184,260.538,56.57725,0,0,0,351.0231,117.1758,233.8473,509.2683,0,954.8871,0,-5.684342e-14,-1.598721e-13,7.81597e-14,81.81974,0,28.67395,300,0,0,231.8641,0
naive,2026-01-05 00:15:00,1,0.25,26.04387,2701.172,68.87737,0,32.85648,1,1,1890.82,1890.345,540.6673,297.5468,838.2141,2,0,0,38.21412,800,0,68.87737,962.0141,0.4810071,0.616706,0.4757993,0,250,0.3171828,1349.677,28.72361,56.7481,0,0,4.132869,351.116,250.6284,100.4876,548.9427,0,1034.044,0,0,-2.220446e-14,4.996004e-15,68.87737,0,28.72361,81.81974,0,0,0,0
naive,2026-01-05 00:30:00,2,0.5,25.984,2674.276,74.68833,3.288515,17.88226,1,1,1871.993,1871.676,542.577,298.3887,840.9657,2,0,0,40.9657,800,0,74.68833,943.1906,0.4715953,0.6057662,0.3172331,0,250,0.3172331,1329.099,30.81145,56.81107,0,3.288515,0,347.1951,246.5055,100.6896,544.8942,0,1031.549,0,-1.136868e-13,1.754152e-14,4.263256e-14,74.68833,0,17.88226,75.34856,0,0,12.92919,0
naive,2026-01-05 00:45:00,3,0.75,25.85574,2646.486,81.56241,1.753479,14.99617,1,1,1852.541,1852.223,538.5961,296.6338,835.2299,2,0,0,35.22992,800,0,76.22466,923.986,0.461993,0.5939133,0.3172331,0,250,0.3172331,1313.627,26.53355,56.94596,6.433926,0.657307,0,342.6907,243.0002,99.69044,539.634,0,1027.436,0,-5.684342e-14,-4.063416e-14,4.263256e-14,75.12848,1.096172,14.99617,76.22466,0,0,11.53738,-6.217249e-15
naive,2026-01-05 01:00:00,4,1,25.64712,2643.841,73.97063,3.022154,26.679,1,1,1850.689,1850.371,535.9335,295.4599,831.3934,2,0,0,31.39343,800,0,75.23113,905.0327,0.4525164,0.5818204,0.3172331,0,250,0.3172331,1314.438,23.69649,57.16538,0,1.761655,2.982511,340.9009,242.1224,98.77857,538.1317,0,1014.991,0,-5.684342e-14,-1.781908e-13,4.263256e-14,73.97063,1.260499,23.69649,77.99746,0,0,0,-6.661338e-15
naive,2026-01-05 01:15:00,5,1.25,25.55989,2678.572,80.67139,5.019577,20.0445,1,1,1875,1874.683,536.4837,295.7025,832.1862,2,0,0,32.18621,800,0,77.79653,885.4411,0.4427206,0.5698858,0.3172331,0,250,0.3172331,1338.199,24.31735,57.25712,4.487691,3.406748,0,344.7698,246.0644,98.70546,541.7669,0,1032.737,0,-5.684342e-14,2.775558e-14,4.263256e-14,76.1837,1.61283,20.0445,77.79653,0,0,4.272849,-4.662937e-15
naive,2026-01-05 01:30:00,6,1.5,25.59874,2637.223,87.8478,5.317236,15.8401,1,1,1846.056,1845.739,535.8273,295.4131,831.2404,2,0,0,31.24039,800,0,79.11227,865.5237,0.4327618,0.5575493,0.3172331,0,250,0.3172331,1309.911,23.59306,57.21627,10.91615,3.136615,0,339.7145,241.0522,98.66228,536.4654,0,1032.803,0,-5.684342e-14,1.041389e-13,4.263256e-14,76.93165,2.180621,15.8401,79.11227,0,0,7.752956,4.440892e-16
naive,2026-01-05 01:45:00,7,1.75,25.59347,2620.873,77.23133,4.19732,16.61841,1,1,1834.611,1834.294,534.8068,294.9632,829.77,2,0,0,29.77003,800,0,79.86004,845.4224,0.4227112,0.5450076,0.3172331,0,250,0.3172331,1299.487,22.48389,57.22181,0,1.568611,0,337.5724,239.1085,98.46399,534.0717,0,1006.475,0,0,-1.780798e-13,4.263256e-14,77.23133,2.628709,16.61841,81.11981,0,0,5.865477,3.552714e-15
naive,2026-01-05 02:00:00,8,2,25.37715,2593.583,85.46466,1.22966,16.21975,1,1,1815.508,1815.191,534.1315,294.6655,828.797,2,0,0,28.79701,800,0,79.56329,825.3985,0.4126992,0.5323501,0.3172331,0,250,0.3172331,1281.059,21.79884,57.44932,7.131032,0,0,332.6012,234.6901,97.91104,529.3557,0,1006.382,0,0,1.906253e-13,4.263256e-14,78.33363,1.22966,16.21975,81.15841,0,0,5.579089,-7.105427e-15
naive,2026-01-05 02:15:00,9,2.25,25.09513,2584.732,93.74125,2.968965,26.79273,1,1,1809.312,1808.995,533.5608,294.4139,827.9748,2,0,0,27.97475,800,0,81.77351,804.8252,0.4024126,0.5197413,0.3172331,0,250,0.3172331,1275.434,21.23952,57.74594,14.61529,0.3214163,5.553209,329.5929,232.3391,97.25377,527.7647,0,1016.331,0,1.136868e-13,2.119416e-13,4.263256e-14,79.12596,2.647549,21.23952,81.77351,0,0,0,0
