controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,771.0268,0,0,0,0,28.67395,351.0231,143.6525,207.3706,335.9735,0,671.9469,0,-2.842171e-14,-2.877698e-13,7.81597e-14
tuned,2026-01-05 00:15:00,1,0.25,25.72881,2729.4,72.77677,0.2518852,20.35422,1,1,1910.58,1910.104,451.8394,129.9803,581.8197,2,81.81974,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1458.265,0,0,0,0.2518852,20.35422,352.5165,269.0609,83.4556,402.7967,0,806.028,0,0,4.448664e-13,4.996004e-15
tuned,2026-01-05 00:30:00,2,0.5,25.64476,2765.172,73.73279,2.14012,27.82063,1,1,1935.62,1935.303,448.4155,129.0087,577.4242,2,77.29826,0.1259426,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1486.888,0,0,0,2.014178,27.82063,356.5284,273.8749,82.65359,408.008,0,819.4904,0,0,-2.415845e-13,4.263256e-14
tuned,2026-01-05 00:45:00,3,0.75,25.43414,2761.963,89.80617,5.56485,20.73732,1,1,1933.374,1933.057,116.4237,33.57629,150,1,76.10977,0.7973352,0,0,73.0929,0,1392.526,0.6962628,0.8654828,0.3172331,0,250,0.3172331,1816.633,0,0,13.6964,4.767515,20.73732,354.6015,333.1899,21.41154,370.5697,0,772.9896,0,0,-3.28737e-13,4.263256e-14
tuned,2026-01-05 01:00:00,4,1,25.24264,2754.645,96.22047,6.108724,35.24251,1,1,1928.251,1927.934,116.3253,33.67469,150,1,79.53387,1.989214,0,0,68.47692,0,1409.426,0.7047128,0.876853,0.3172331,0,250,0.3172331,1811.609,0,0,16.68661,4.11951,35.24251,352.3008,330.9896,21.31115,371.1033,0,778.0972,0,0,-4.206635e-13,4.263256e-14
tuned,2026-01-05 01:15:00,5,1.25,25.08645,2742.963,84.44313,3.730806,29.90074,1,1,1920.074,1919.757,116.2573,33.74272,150,1,82.87119,2.813116,0,0,64.3157,0,1425.283,0.7126414,0.8874947,0.3172331,0,250,0.3172331,1803.5,0,0,1.571939,0.9176905,29.90074,349.7091,328.477,21.23208,367.6656,0,739.6258,0,-7.105427e-15,1.364464e-13,4.263256e-14
tuned,2026-01-05 01:30:00,6,1.5,24.70027,2721.714,82.80818,6.712637,22.17952,1,1,1905.2,1904.883,116.2447,33.75534,150,1,83.13318,2.966064,0,0,63.90076,0,1441.034,0.7205168,0.8974796,0.3172331,0,250,0.3172331,1788.638,0,0,0,3.746573,22.17952,34.2936,32.19548,2.098114,69.95944,0,146.3817,0,1.421085e-14,-4.322098e-13,4.263256e-14
tuned,2026-01-05 01:45:00,7,1.75,24.55521,2756.675,78.21129,0,17.58541,1,1,1929.672,1929.355,116.2005,33.79953,150,1,83.08675,3.501289,0,0,63.41196,0,1456.66,0.7283298,0.9073977,0.3172331,0,250,0.3172331,1813.155,0,0,0,0,17.58541,34.7341,32.63678,2.097319,69.60547,0,139.2109,0,0,5.750955e-14,4.263256e-14
tuned,2026-01-05 02:00:00,8,2,24.33347,2711.506,91.36316,3.452053,32.33712,1,1,1898.055,1897.737,116.2366,33.7634,150,1,82.47732,3.063628,0,0,64.45905,0,1472.545,0.7362726,0.9172372,0.3172331,0,250,0.3172331,1781.501,0,0,8.885847,0.3884254,32.33712,34.16498,32.06701,2.097969,71.63254,0,159.2632,0,0,2.781109e-13,4.263256e-14
tuned,2026-01-05 02:15:00,9,2.25,24.6636,2703.164,81.28817,3.935489,33.30909,1,1,1892.215,1891.897,116.233,33.76696,150,1,83.46463,3.106786,0,0,63.42858,0,1488.17,0.7440852,0.9272401,0.3172331,0,250,0.3172331,1775.664,0,0,0,0.8287022,33.30909,34.05986,31.96196,2.097905,71.74464,0,144.9188,0,1.421085e-14,2.120526e-13,4.263256e-14
tuned,2026-01-05 02:30:00,10,2.5,24.59078,2655.625,93.93985,2.592548,32.18319,1,1,1858.937,1858.62,116.2262,33.7738,150,1,83.24699,3.189656,0,0,63.56336,0,1503.827,0.7519135,0.9370791,0.3172331,0,250,0.3172331,1742.394,0,0,10.69286,0,32.18319,33.46087,31.36309,2.097782,70.94088,0,160.327,0,-7.105427e-15,4.291012e-13,4.263256e-14
tuned,2026-01-05 02:45:00,11,2.75,24.44907,2632.976,107.0829,3.928755,22.14369,1,1,1843.083,1842.766,116.2307,33.76932,150,1,84.21907,3.135374,0,0,62.64556,0,1519.252,0.7596258,0.9469378,0.3172331,0,250,0.3172331,1726.535,0,0,22.86385,0.7933816,22.14369,33.1755,31.07763,2.097862,68.8292,0,178.4671,0,7.105427e-15,6.694645e-14,4.263256e-14
tuned,2026-01-05 03:00:00,12,3,24.32448,2653.103,97.51248,6.15006,22.88896,1,1,1857.172,1856.855,116.2252,33.77478,150,1,86.12439,3.201489,0,0,60.67412,0,1534.181,0.7670905,0.9566505,0.3172331,0,250,0.3172331,1740.63,0,0,11.38809,2.948571,22.88896,33.4291,31.33134,2.097764,69.21227,0,163.1553,0,0,-3.08753e-13,4.263256e-14
tuned,2026-01-05 03:15:00,13,3.25,24.15773,2671.119,119.071,2.310268,20.87172,1,1,1869.783,1869.466,116.2065,33.79351,150,1,87.00039,3.428302,0,0,59.5713,0,1548.832,0.7744162,0.9660513,0.3172331,0,250,0.3172331,1753.26,0,0,32.07065,0,20.87172,33.6561,31.55867,2.097427,69.08417,0,193.4902,0,-7.105427e-15,8.304468e-14,4.263256e-14
tuned,2026-01-05 03:30:00,14,3.5,23.94988,2683.625,109.3692,2.683219,28.10172,1,1,1878.538,1878.221,116.2131,33.78691,150,1,89.29115,3.348443,0,0,57.3604,0,1562.929,0.7814643,0.975277,0.3172331,0,250,0.3172331,1762.007,0,0,20.07802,0,28.10172,33.81368,31.71613,2.097546,70.50735,0,175.6493,0,0,2.171596e-13,4.263256e-14
tuned,2026-01-05 03:45:00,15,3.75,23.8387,2679.613,107.4225,0.9808827,20.785,1,1,1875.729,1875.412,116.2167,33.78325,150,1,90.62969,3.304094,0,0,56.06622,0,1576.699,0.7883496,0.9841533,0.3172331,0,250,0.3172331,1759.195,0,0,16.79278,0,20.785,33.76313,31.66551,2.097612,69.14208,0,167.2517,0,-1.421085e-14,-3.075318e-13,4.263256e-14
tuned,2026-01-05 04:00:00,16,4,23.85023,2668.757,123.1955,0.6404455,28.87121,1,1,1868.13,1867.812,116.2287,33.77126,150,1,91.67924,3.158894,0,0,55.16187,0,1590.241,0.7951207,0.9928243,0.3172331,0,250,0.3172331,1751.584,0,0,31.51624,0,28.87121,33.62633,31.52851,2.097827,70.43109,0,195.2277,0,0,4.42979e-14,4.263256e-14
tuned,2026-01-05 04:15:00,17,4.25,23.77592,2664.971,129.6854,3.207185,20.6456,1,1,1865.48,1865.163,116.241,33.75903,150,1,93.53313,3.01075,0,0,53.45612,0,1603.355,0.8016776,1.001352,0.3172331,0,250,0.3172331,1748.922,0,0,36.1523,0.1964349,20.6456,33.57864,31.48059,2.098048,68.90367,0,200.5089,0,-7.105427e-15,-2.533529e-13,4.263256e-14
tuned,2026-01-05 04:30:00,18,4.5,23.86659,2666.681,153.8843,1.201211,15.46863,1,1,1866.676,1866.359,116.2401,33.75993,150,1,95.54159,3.021663,0,0,51.43674,0,1615.962,0.8079809,1.009609,0.3172331,0,250,0.3172331,1750.119,0,0,58.34275,0,15.46863,33.60018,31.50214,2.098031,68.01221,0,236.6657,0,-1.421085e-14,-1.845191e-13,4.263256e-14
tuned,2026-01-05 04:45:00,19,4.75,23.81409,2702.707,173.0243,0,17.67318,1,1,1891.895,1891.578,116.248,33.75202,150,1,98.61227,2.925849,0,0,48.46188,0,1627.823,0.8139115,1.017548,0.3172331,0,250,0.3172331,1775.33,0,0,74.41205,0,17.67318,34.05411,31.95593,2.098174,68.84681,0,266.0544,0,-7.105427e-15,-4.301004e-13,4.263256e-14
tuned,2026-01-05 05:00:00,20,5,23.80044,2741.22,214.8227,0,19.29349,1,1,1918.854,1918.537,116.2601,33.73995,150,1,102.3329,2.779557,0,0,44.88757,0,1638.789,0.8193943,1.025016,0.3172331,0,250,0.3172331,1802.277,0,0,112.4898,0,19.29349,34.53937,32.44098,2.098391,69.60664,0,333.2582,0,0,-2.384759e-13,4.263256e-14
tuned,2026-01-05 05:15:00,21,5.25,23.994,2750.738,272.0295,3.883309,10.57169,1,1,1925.517,1925.199,116.271,33.72902,150,1,107.6895,2.647197,0,0,39.66328,0,1648.446,0.8242232,1.031921,0.3172331,0,250,0.3172331,1808.928,0,0,164.34,1.236112,10.57169,34.6593,32.56071,2.098588,68.17394,0,421.9666,0,0,-5.684342e-14,4.263256e-14
tuned,2026-01-05 05:30:00,22,5.5,24.06396,2737.99,319.749,6.816234,5.597178,1,1,1916.593,1916.276,116.2663,33.73366,150,1,115.1595,2.703384,0,0,32.13709,0,1656.221,0.8281106,1.038003,0.3172331,0,250,0.3172331,1800.009,0,0,204.5895,4.11285,5.597178,34.49867,32.40017,2.098504,67.13279,0,494.2771,0,-1.421085e-14,-8.970602e-14,4.263256e-14
tuned,2026-01-05 05:45:00,23,5.75,24.00589,2720.712,398.8947,7.165335,4.77567,0,1,1904.498,1904.181,116.2516,33.74842,150,1,124.0547,2.882204,0,0,23.06308,0,1661.726,0.8308631,1.042898,0.3172331,0,250,0.3172331,1787.93,0,0,274.8399,4.283132,4.77567,34.28097,32.18273,2.098239,0,66.78253,848.7912,0,7.105427e-15,-2.946532e-13,4.263256e-14
tuned,2026-01-05 06:00:00,24,6,24.00028,2736.931,474.2153,9.688169,13.96544,0,0,1915.852,1915.534,0,0,0,0,0,0,0,0,0,138.5671,1626.823,0.8134115,1.046365,0.3172331,0,250,0.3172331,1915.534,0,0,338.7089,6.627501,13.96544,34.48533,34.47962,0.005710195,0,36.96901,799.0349,0,0,6.394885e-14,4.263256e-14
