controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,771.0268,0,0,0,0,28.67395,351.0231,143.6525,207.3706,335.9735,0,671.9469,0,-2.842171e-14,-2.877698e-13,7.81597e-14,81.81974,0,0,0,500,218.1803,0,0
tuned,2026-01-05 00:15:00,1,0.25,26.03833,2695.772,78.43981,3.51814,23.69566,1,1,1887.04,1886.564,451.8394,129.9803,581.8197,2,81.81974,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1434.725,0,0,0,3.51814,23.69566,350.3743,266.3912,83.98318,400.7711,0,807.6111,0,0,4.448664e-13,4.996004e-15,78.43981,0,0,0,500,3.379932,0,0
tuned,2026-01-05 00:30:00,2,0.5,26.11157,2658.971,68.25255,0.6969003,35.6601,1,1,1861.279,1860.962,451.7479,130.141,581.8888,2,80.12978,1.75907,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1409.214,0,0,0,0,35.6601,346.1089,262.0464,84.06248,398.8185,0,797.637,0,-2.842171e-14,-2.415845e-13,4.263256e-14,68.25255,0.6969003,0,0,500,12.93939,0,-4.440892e-14
tuned,2026-01-05 00:45:00,3,0.75,26.05345,2682.063,72.82093,2.882211,35.85498,1,1,1877.444,1877.127,116.3735,33.62646,150,1,76.1707,1.405014,0,0,72.42428,0,1392.358,0.6961792,0.8654828,0.3172331,0,250,0.3172331,1760.753,0,0,0,1.477197,35.85498,348.7002,327.0271,21.67314,367.313,0,737.1741,0,-1.421085e-14,1.402212e-13,4.263256e-14,72.82093,1.405014,0,0,72.42428,3.34977,0,0
tuned,2026-01-05 01:00:00,4,1,25.69812,2705.929,89.79838,1.151972,37.51857,1,1,1894.151,1893.833,116.343,33.65695,150,1,75.33326,1.774313,0,0,72.89243,0,1410.362,0.7051812,0.8767477,0.3172331,0,250,0.3172331,1777.49,0,0,14.46512,0,37.51857,349.2676,327.7563,21.51131,368.3314,0,761.6152,0,-1.421085e-14,1.757483e-13,4.263256e-14,75.33326,1.151972,0,0,72.89243,0.6223407,0,-8.881784e-15
tuned,2026-01-05 01:15:00,5,1.25,25.56245,2708.923,102.0059,1.828656,36.30042,1,1,1896.246,1895.929,116.3533,33.64667,150,1,78.22628,1.649845,0,0,70.12387,0,1427.671,0.7138357,0.8880845,0.3172331,0,250,0.3172331,1779.576,0,0,23.77966,0.1788117,36.30042,348.6945,327.2403,21.45417,367.5622,0,776.4527,0,0,1.233458e-13,4.263256e-14,78.22628,1.649845,0,0,70.12387,0,0,0
tuned,2026-01-05 01:30:00,6,1.5,25.35068,2709.657,89.64229,5.178584,31.84034,1,1,1896.76,1896.442,116.3509,33.64913,150,1,82.18956,1.679647,0,0,66.13079,0,1443.979,0.7219896,0.8989837,0.3172331,0,250,0.3172331,1780.092,0,0,7.45273,3.498937,31.84034,347.3012,325.939,21.36221,365.4182,0,749.7281,0,0,-2.047251e-13,4.263256e-14,82.18956,1.679647,0,0,66.13079,0,0,0
tuned,2026-01-05 01:45:00,7,1.75,25.24534,2685.346,78.66616,0.9704588,23.47628,1,1,1879.742,1879.425,116.3096,33.6904,150,1,83.25424,2.179495,0,0,64.56627,0,1459.894,0.7299468,0.9092526,0.3172331,0,250,0.3172331,1763.116,0,0,0,0,23.47628,343.4566,322.1472,21.30944,360.127,0,720.2541,0,7.105427e-15,-4.851675e-14,4.263256e-14,78.66616,0.9704588,0,0,64.56627,5.797117,0,3.552714e-15
tuned,2026-01-05 02:00:00,8,2,24.91666,2689.999,84.30569,0,25.67706,1,1,1882.999,1882.682,116.3221,33.67793,150,1,82.68073,2.028365,0,0,65.29091,0,1475.986,0.7379932,0.9192736,0.3172331,0,250,0.3172331,1766.36,0,0,1.624964,0,25.67706,33.89398,31.79448,2.099508,70.13319,0,143.0694,0,-7.105427e-15,1.270095e-13,4.263256e-14,82.68073,0,0,0,65.29091,2.028365,0,-7.105427e-15
tuned,2026-01-05 02:15:00,9,2.25,24.83748,2708.8,73.85289,0,19.69867,1,1,1896.16,1895.843,116.3407,33.65932,150,1,82.86128,1.802991,0,0,65.33573,0,1492.088,0.746044,0.929407,0.3172331,0,250,0.3172331,1779.502,0,0,0,0,19.69867,34.13088,32.03104,2.099842,69.26033,0,138.5207,0,-1.421085e-14,8.271162e-14,4.263256e-14,73.85289,0,0,0,65.33573,10.81138,0,0
