controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,155.3194,44.68061,200,1,200,0,0,0,0,0,999.8426,0.4999213,0.6296853,500,0,249.9603,0.1586165,1471.832,0,0,0,0,22.25681,38.28872,26.49297,11.79575,75.10571,0,150.2114,0,-7.105427e-15,1.669775e-13,7.81597e-14,102.9345,0,0,100,0,97.06548,0,0
mpc,2026-01-05 00:15:00,1,0.25,23.30001,3049.71,86.65218,0,25.38681,1,1,2134.797,2134.322,155.3194,44.68061,200,1,200,0,0,0,0,0,999.6852,0.4998426,0.6295862,0.4757993,0,250,0.3171828,1979.002,0,0,0,0,25.38681,38.42635,35.62204,2.804313,84.76666,0,169.5333,0,-7.105427e-15,-2.011724e-13,4.996004e-15,86.65218,0,0,100,0,113.3478,0,0
mpc,2026-01-05 00:30:00,2,0.5,23.16047,3019.343,93.96274,5.754902,13.40248,1,1,2113.54,2113.223,0,0,0,0,0,0,0,0,0,93.96274,976.0371,0.4880186,0.6294871,0.3172331,0,250,0.3172331,2113.223,0,0,0,5.754902,13.40248,38.04373,38.03802,0.005710195,40.38836,0,90.70393,0,0,1.8896e-13,4.263256e-14,93.96274,0,0,94.79335,0,0,0,0
mpc,2026-01-05 00:45:00,3,0.75,22.95394,2987.969,102.6108,3.068588,10.96932,1,1,2091.578,2091.261,0,0,0,0,0,0,0,0,0,94.79335,952.1851,0.4760926,0.6145963,0.3172331,0,250,0.3172331,2091.261,0,0,7.817426,3.068588,10.96932,37.6484,37.64269,0.005710195,39.55871,0,97.8958,0,0,-4.563017e-14,4.263256e-14,94.79335,0,0,94.79335,0,0,0,0
mpc,2026-01-05 01:00:00,4,1,22.66877,2984.982,93.05983,5.288769,20.0448,1,1,2089.487,2089.17,0,0,0,0,0,0,0,0,0,95.2657,928.2188,0.4641094,0.599577,0.3172331,0,250,0.3172331,2089.17,0,0,0,3.082897,20.0448,37.61077,37.60506,0.005710195,41.08722,0,87.49243,0,0,-2.442491e-15,4.263256e-14,93.05983,2.205872,0,98.74593,0,0,0,-1.776357e-15
mpc,2026-01-05 01:15:00,5,1.25,22.50703,3024.194,101.4898,8.78426,14.66543,1,1,2116.936,2116.619,0,0,0,0,0,0,0,0,0,98.74593,903.3862,0.4516931,0.5844858,0.3172331,0,250,0.3172331,2116.619,0,0,4.94976,6.578388,14.66543,38.10485,38.09914,0.005710195,40.63894,0,101.1639,0,0,-2.082778e-13,4.263256e-14,96.54005,2.205872,0,98.74593,0,0,0,-1.776357e-15
mpc,2026-01-05 01:30:00,6,1.5,22.47374,2977.509,110.5182,9.305163,11.21037,1,1,2084.257,2083.939,0,0,0,0,0,0,0,0,0,100.6011,878.0937,0.4390469,0.5688491,0.3172331,0,250,0.3172331,2083.939,0,0,13.73322,5.489077,11.21037,37.51662,37.51091,0.005710195,39.45113,0,112.0607,0,0,-1.547651e-13,4.263256e-14,96.78498,3.816087,0,100.6011,0,0,0,5.329071e-15
mpc,2026-01-05 01:45:00,7,1.75,22.39901,2959.05,97.16199,7.34531,11.69472,1,1,2071.335,2071.018,0,0,0,0,0,0,0,0,0,100.6011,852.8052,0.4264026,0.5529228,0.3172331,0,250,0.3172331,2071.018,0,0,0.377019,3.529224,11.69472,37.28403,37.27832,0.005710195,39.29949,0,85.33726,0,0,2.163825e-13,4.263256e-14,96.78498,3.816087,0,100.6011,0,0,0,5.329071e-15
mpc,2026-01-05 02:00:00,8,2,22.1162,2928.239,107.5201,2.151905,11.25567,1,1,2049.767,2049.45,0,0,0,0,0,0,0,0,0,100.7007,827.4958,0.4137479,0.536999,0.3172331,0,250,0.3172331,2049.45,0,0,8.971298,0,11.25567,36.89581,36.8901,0.005710195,38.82499,0,93.12546,0,0,1.113554e-13,4.263256e-14,98.54876,2.151905,0,103.4921,0,0,0,-5.329071e-15
mpc,2026-01-05 02:15:00,9,2.25,21.77095,2918.245,117.9325,5.195689,19.48444,1,1,2042.772,2042.454,0,0,0,0,0,0,0,0,0,103.4921,801.4925,0.4007463,0.521062,0.3172331,0,250,0.3172331,2042.454,0,0,19.38378,0.2523152,19.48444,36.76989,36.76418,0.005710195,40.0919,0,114.0561,0,0,-3.463896e-14,4.263256e-14,98.54876,4.943374,0,103.4921,0,0,0,-6.217249e-15
