controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,102.9345,974.1089,0.4870545,0.6296853,500,0,249.9603,0.1586165,872.0214,267.9357,59.37821,0,0,0,38.28872,15.69639,22.59234,407.7888,0,748.7771,0,-5.684342e-14,1.953993e-13,7.81597e-14,102.9345,0,22.25681,300,0,0,245.6789,0
naive,2026-01-05 00:15:00,1,0.25,23.30001,3049.71,86.65218,0,25.38681,1,1,2134.797,2134.322,534.1634,294.6796,828.843,2,0,0,28.84296,800,0,86.65218,952.2926,0.4761463,0.6133821,0.4757993,0,250,0.3171828,1600.158,22.31291,59.63394,0,0,3.073904,38.42635,28.80285,9.623505,324.023,0,580.9577,0,0,-6.716849e-14,4.996004e-15,86.65218,0,22.31291,102.9345,0,0,0,0
naive,2026-01-05 00:30:00,2,0.5,23.16047,3019.343,93.96274,5.754902,13.40248,1,1,2113.54,2113.223,535.544,295.2882,830.8322,2,0,0,30.83221,800,0,93.96274,928.652,0.464326,0.5996447,0.3172331,0,250,0.3172331,1577.679,23.88621,59.7807,0,5.754902,0,38.04373,28.39823,9.645502,323.6865,0,590.0468,0,5.684342e-14,-6.283862e-14,4.263256e-14,93.96274,0,13.40248,94.79335,0,0,10.48374,0
naive,2026-01-05 00:45:00,3,0.75,22.95394,2987.969,102.6108,3.068588,10.96932,1,1,2091.578,2091.261,532.4077,293.9056,826.3133,2,0,0,26.3133,800,0,96.43478,904.3971,0.4521985,0.5847585,0.3172331,0,250,0.3172331,1558.853,20.42882,59.99792,8.094294,1.150287,0,37.6484,28.05936,9.589049,321.965,0,592.3792,0,5.684342e-14,1.382228e-13,4.263256e-14,94.51648,1.918301,10.96932,96.43478,0,0,9.4595,3.330669e-15
naive,2026-01-05 01:00:00,4,1,22.66877,2984.982,93.05983,5.288769,20.0448,1,1,2089.487,2089.17,530.2874,292.9709,823.2582,2,0,0,23.25824,800,0,95.2657,880.4383,0.4402191,0.5694856,0.3172331,0,250,0.3172331,1558.883,18.11003,60.29785,0,3.082897,1.934773,37.61077,28.05989,9.550883,321.3669,0,580.2166,0,0,3.674838e-14,4.263256e-14,93.05983,2.205872,18.11003,98.74592,0,0,0,-4.440892e-15
naive,2026-01-05 01:15:00,5,1.25,22.50703,3024.194,101.4898,8.78426,14.66543,1,1,2116.936,2116.619,530.6339,293.1236,823.7575,2,0,0,23.75754,800,0,98.66646,855.6331,0.4278165,0.5543991,0.3172331,0,250,0.3172331,1585.985,18.52955,60.46795,5.645805,5.961808,0,38.10485,28.54772,9.557121,321.6714,0,595.3394,0,-5.684342e-14,2.187139e-14,4.263256e-14,95.84401,2.822452,14.66543,98.66646,0,0,3.864112,2.664535e-15
naive,2026-01-05 01:30:00,6,1.5,22.47374,2977.509,110.5182,9.305163,11.21037,1,1,2084.257,2083.939,530.0578,292.8696,822.9274,2,0,0,22.92743,800,0,100.6011,830.3481,0.4151741,0.5387796,0.3172331,0,250,0.3172331,1553.882,17.88821,60.50297,13.73322,5.489077,0,37.51662,27.96987,9.54675,320.8395,0,606.7717,0,-1.136868e-13,-1.729727e-13,4.263256e-14,96.78498,3.816087,11.21037,100.6011,0,0,6.67784,-5.77316e-15
naive,2026-01-05 01:45:00,7,1.75,22.39901,2959.05,97.16199,7.34531,11.69472,1,1,2071.335,2071.018,529.2051,292.4937,821.6988,2,0,0,21.69879,800,0,101.7622,804.7768,0.4023884,0.522858,0.3172331,0,250,0.3172331,1541.813,16.94259,60.58157,0,2.74507,0,37.28403,27.75263,9.531401,320.2464,0,577.0737,0,1.136868e-13,-1.456613e-13,4.263256e-14,97.16199,4.60024,11.69472,103.3471,0,0,5.247865,6.217249e-15
naive,2026-01-05 02:00:00,8,2,22.1162,2928.239,107.5201,2.151905,11.25567,1,1,2049.767,2049.45,528.6191,292.2354,820.8545,2,0,0,20.85453,800,0,100.7007,779.475,0.3897375,0.5067562,0.3172331,0,250,0.3172331,1520.831,16.33057,60.87901,8.971298,0,0,36.89581,27.37495,9.520854,319.6104,0,586.2073,0,-5.684342e-14,9.847678e-14,4.263256e-14,98.54876,2.151905,11.25567,103.4921,0,0,5.074899,-5.329071e-15
naive,2026-01-05 02:15:00,9,2.25,21.77095,2918.245,117.9325,5.195689,19.48444,1,1,2042.772,2042.454,528.1159,292.0136,820.1294,2,0,0,20.12945,800,0,104.1788,753.3076,0.3766538,0.490824,0.3172331,0,250,0.3172331,1514.339,15.81837,61.24213,18.38697,0.5624785,3.666067,36.76989,27.25809,9.511796,319.8978,0,603.586,0,5.684342e-14,1.778022e-13,4.263256e-14,99.54557,4.633211,15.81837,104.1788,0,0,0,-3.552714e-15
naive,2026-01-05 02:30:00,10,2.5,21.52158,2936.667,94.67584,6.736535,15.7402,1,1,2055.667,2055.35,528.4427,292.1576,820.6004,2,0,0,20.60037,800,0,99.3653,728.3477,0.3641738,0.4743467,0.3172331,0,250,0.3172331,1526.907,16.22953,61.5044,0,2.047076,0,37.002,27.48432,9.517679,319.642,0,573.6227,0,-5.684342e-14,-5.023759e-14,4.263256e-14,94.67584,4.689459,15.7402,106.0737,0,0,0.489331,0
naive,2026-01-05 02:45:00,11,2.75,21.37044,2923.325,95.34514,0,14.53135,1,1,2046.328,2046.011,528.4031,292.1402,820.5433,2,0,0,20.54329,800,0,95.34514,704.3967,0.3521984,0.4586298,0.3172331,0,250,0.3172331,1517.607,16.2094,61.66336,0,0,0,36.8339,27.31693,9.516966,319.4571,0,569.543,0,5.684342e-14,4.418688e-14,4.263256e-14,95.34514,0,14.53135,105.65,0,0,1.678052,0
naive,2026-01-05 03:00:00,12,3,20.92286,2953.292,108.3088,0,15.17027,1,1,2067.304,2066.987,528.2787,292.0853,820.364,2,0,0,20.36404,800,0,100.322,679.2053,0.3396027,0.4435483,0.3172331,0,250,0.3172331,1538.708,16.14089,62.1341,7.986824,0,0,37.21148,27.69675,9.514727,319.7821,0,583.4406,0,-5.684342e-14,-9.831025e-14,4.263256e-14,100.322,0,15.17027,104.7912,0,0,0.9706192,0
