controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,300,924.8426,0.4624213,0.6296853,500,0,249.9603,0.1586165,872.0214,267.9357,59.37821,0,0,0,38.28872,15.69639,22.59234,407.7888,0,748.7771,0,-5.684342e-14,1.669775e-13,7.81597e-14
naive,2026-01-05 00:15:00,1,0.25,22.98495,3081.58,91.55787,0.4407991,15.51661,1,1,2157.106,2156.63,534.1634,294.6796,828.843,2,0,0,28.84296,800,0,102.9345,898.9634,0.4494817,0.5823598,0.4757993,0,250,0.3171828,1622.467,22.38561,59.96531,0,0.4407991,0,38.82791,29.20441,9.623505,323.884,0,581.0674,0,0,-1.056932e-13,4.996004e-15
naive,2026-01-05 00:30:00,2,0.5,22.82123,3121.968,92.7606,3.745211,21.24856,1,1,2185.378,2185.06,531.0833,293.3217,824.405,2,0,0,24.40498,800,0,97.46659,874.4552,0.4372276,0.566064,0.3172331,0,250,0.3172331,1653.977,18.97316,60.13749,0,3.524811,2.275393,39.3368,29.77159,9.565209,323.4897,0,585.4051,0,0,-7.127632e-14,4.263256e-14
naive,2026-01-05 00:45:00,3,0.75,22.53235,3118.345,112.982,9.738488,15.5018,1,1,2182.841,2182.524,531.7624,293.6211,825.3836,2,0,0,25.38355,800,0,97.14633,850.031,0.4250155,0.5506316,0.3172331,0,250,0.3172331,1650.762,19.7926,60.44133,17.23096,8.343151,0,39.29115,29.71371,9.577434,323.3348,0,622.7885,0,-1.136868e-13,-2.164935e-13,4.263256e-14
naive,2026-01-05 01:00:00,4,1,22.26429,3110.083,121.0516,10.69027,26.80547,1,1,2177.058,2176.741,530.8033,293.1983,824.0016,2,0,0,24.00163,800,0,103.5399,824.0122,0.4120061,0.535252,0.3172331,0,250,0.3172331,1645.937,18.76653,60.72326,20.99283,7.209142,8.038943,39.18704,29.62687,9.56017,324.211,0,628.7567,0,0,1.519895e-13,4.263256e-14
naive,2026-01-05 01:15:00,5,1.25,22.03359,3096.894,106.2349,6.528911,22.44667,1,1,2167.826,2167.509,532.2388,293.8311,826.0699,2,0,0,26.06988,800,0,109.1803,796.5874,0.3982937,0.5188684,0.3172331,0,250,0.3172331,1635.27,20.43178,60.9659,1.977601,1.605958,2.014888,39.02087,29.43486,9.586008,323.6118,0,584.8186,0,-5.684342e-14,-4.563017e-14,4.263256e-14
naive,2026-01-05 01:30:00,6,1.5,21.57527,3072.903,104.178,11.74712,16.21518,1,1,2151.032,2150.715,532.5382,293.9631,826.5013,2,0,0,26.50128,800,0,109.7775,769.0176,0.3845088,0.5015994,0.3172331,0,250,0.3172331,1618.177,20.86705,61.44793,0,6.556503,0,38.71858,29.12718,9.591397,323.0903,0,588.3617,0,-5.684342e-14,1.532108e-13,4.263256e-14
naive,2026-01-05 01:45:00,7,1.75,21.36075,3112.375,98.39485,0,12.45814,1,1,2178.662,2178.345,531.9466,293.7023,825.649,2,0,0,25.64897,800,0,110.6557,741.2326,0.3706163,0.4842391,0.3172331,0,250,0.3172331,1646.399,20.23996,61.67355,0,0,0,39.21592,29.63517,9.58075,323.3375,0,577.2923,0,0,1.514899e-13,4.263256e-14
naive,2026-01-05 02:00:00,8,2,21.07252,3061.378,114.9408,6.041093,23.97991,1,1,2142.965,2142.648,531.0821,293.3212,824.4033,2,0,0,24.4033,800,0,109.1231,713.8352,0.3569176,0.4667433,0.3172331,0,250,0.3172331,1611.565,19.31325,61.97669,11.17897,0.6797445,4.666654,38.57337,29.00818,9.565188,323.1161,0,596.9647,0,-1.136868e-13,-1.577072e-13,4.263256e-14
naive,2026-01-05 02:15:00,9,2.25,21.33942,3051.959,102.2658,6.887105,24.62894,1,1,2136.371,2136.054,531.5422,293.5241,825.0663,2,0,0,25.06632,800,0,110.4408,686.1126,0.3430563,0.4494915,0.3172331,0,250,0.3172331,1604.512,19.78446,61.69599,0,1.450229,4.844476,38.45468,28.88121,9.573471,323.226,0,579.5457,0,0,-1.587619e-13,4.263256e-14
