controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,1014.13,0,0,0,0,22.25681,38.28872,18.25434,20.03438,209.1651,0,418.3302,0,-2.842171e-14,-2.877698e-13,7.81597e-14,102.9345,0,0,0,500,197.0655,0,2.842171e-14
tuned,2026-01-05 00:15:00,1,0.25,23.42399,3017.455,106.3306,8.698315,23.69258,1,1,2112.219,2111.743,468.2371,134.6974,602.9345,2,102.9345,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1643.506,0,0,3.396057,8.698315,23.69258,38.01993,29.5831,8.436832,168.4566,0,357.7761,0,-5.684342e-14,4.448664e-13,4.996004e-15,102.9345,0,0,0,500,0,0,0
tuned,2026-01-05 00:30:00,2,0.5,23.2423,2997.112,105.9481,11.24097,33.99625,1,1,2097.979,2097.661,472.5742,136.4075,608.9817,2,104.6325,4.349157,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1625.087,0,0,1.31554,6.891813,33.99625,37.76361,29.25157,8.512047,171.6302,0,357.4182,0,-5.684342e-14,-2.415845e-13,4.263256e-14,104.6325,4.349157,0,0,500,0,0,-5.684342e-14
tuned,2026-01-05 00:45:00,3,0.75,22.85149,3017.593,119.2228,4.17117,29.30385,1,1,2112.315,2111.998,115.9408,34.0592,150,1,105.0711,6.646428,0,0,38.28251,0,1383.823,0.6919115,0.8654828,0.3172331,0,250,0.3172331,1996.057,0,0,14.15174,0,29.30385,38.02168,35.92903,2.092645,75.09669,0,174.6051,0,-7.105427e-15,-4.28213e-13,4.263256e-14,105.0711,4.17117,0,0,38.28251,2.475259,0,-5.329071e-15
tuned,2026-01-05 01:00:00,4,1,22.75519,3060.659,122.5996,0,24.44309,1,1,2142.461,2142.144,115.9919,34.00811,150,1,108.609,6.027614,0,0,35.36339,0,1392.446,0.696223,0.8713731,0.3172331,0,250,0.3172331,2026.152,0,0,13.99062,0,24.44309,38.56431,36.47074,2.093564,74.73209,0,173.598,0,2.131628e-14,1.497691e-13,4.263256e-14,108.609,0,0,0,35.36339,6.027614,0,7.105427e-15
tuned,2026-01-05 01:15:00,5,1.25,22.60318,3032.048,120.6571,1.293772,22.94349,1,1,2122.433,2122.116,116.0914,33.90858,150,1,111.4071,4.822091,0,0,33.77079,0,1400.67,0.7003348,0.8768029,0.3172331,0,250,0.3172331,2006.025,0,0,9.249995,0,22.94349,38.2038,36.10845,2.095356,73.99775,0,163.9517,0,-7.105427e-15,1.919576e-13,4.263256e-14,111.4071,1.293772,0,0,33.77079,3.528319,0,2.220446e-15
tuned,2026-01-05 01:30:00,6,1.5,22.32912,3045.765,104.0943,0,23.79381,1,1,2132.036,2131.718,116.14,33.86003,150,1,112.9488,4.234038,0,0,32.81718,0,1408.653,0.7043267,0.8819811,0.3172331,0,250,0.3172331,2015.579,0,0,0,0,23.79381,38.37664,36.28041,2.09623,74.24722,0,148.4944,0,0,-3.407274e-13,4.263256e-14,104.0943,0,0,0,32.81718,13.08852,0,3.552714e-15
tuned,2026-01-05 01:45:00,7,1.75,22.20898,2969.814,96.5447,0,23.43479,1,1,2078.869,2078.552,116.1899,33.81009,150,1,111.6839,3.629175,0,0,34.68697,0,1417.103,0.7085517,0.8870084,0.3172331,0,250,0.3172331,1962.362,0,0,0,0,23.43479,37.41965,35.32252,2.097129,73.16822,0,146.3364,0,-1.421085e-14,2.59015e-13,4.263256e-14,96.5447,0,0,0,34.68697,18.76834,0,-3.552714e-15
tuned,2026-01-05 02:00:00,8,2,22.0679,2945.768,109.2475,3.116356,21.34332,1,1,2062.037,2061.72,116.2274,33.77264,150,1,109.7915,3.175528,0,0,37.03301,0,1426.139,0.7130693,0.8923292,0.3172331,0,250,0.3172331,1945.493,0,0,0,0,21.34332,37.11667,35.01887,2.097803,72.45715,0,144.9143,0,0,2.59015e-13,4.263256e-14,109.2475,3.116356,0,0,37.03301,0.6031333,0,-8.881784e-16
tuned,2026-01-05 02:15:00,9,2.25,21.92612,2979.205,108.2238,7.84618,16.60644,1,1,2085.444,2085.127,116.2279,33.77209,150,1,109.731,3.168954,0,0,37.10003,0,1435.189,0.7175945,0.8980185,0.3172331,0,250,0.3172331,1968.899,0,0,0,4.677226,16.60644,37.53799,35.44018,2.097812,72.05675,0,152.1817,0,7.105427e-15,1.156852e-13,4.263256e-14,108.2238,3.168954,0,0,37.10003,1.507185,0,7.105427e-15
tuned,2026-01-05 02:30:00,10,2.5,21.75914,3028.602,123.9886,4.144444,14.75476,1,1,2120.022,2119.704,116.1893,33.81071,150,1,109.5803,3.636676,0,0,36.78302,0,1444.159,0.7220794,0.9037175,0.3172331,0,250,0.3172331,2003.515,0,0,14.4083,0.5077677,14.75476,38.16039,36.06327,2.097117,72.39337,0,170.517,0,-7.105427e-15,3.260725e-13,4.263256e-14,109.5803,3.636676,0,0,36.78302,0,0,0
tuned,2026-01-05 02:45:00,11,2.75,21.67014,3031.824,108.4314,6.190184,18.8942,1,1,2122.277,2121.96,116.1855,33.81452,150,1,110.8901,3.682837,0,0,35.42702,0,1452.788,0.7263941,0.9093656,0.3172331,0,250,0.3172331,2005.774,0,0,0,2.507347,18.8942,38.20098,36.10393,2.097049,73.13927,0,150.6037,0,-7.105427e-15,-3.528289e-13,4.263256e-14,108.4314,3.682837,0,0,35.42702,2.458741,0,0
tuned,2026-01-05 03:00:00,12,3,21.42458,3046.807,120.9725,5.783596,21.86472,1,1,2132.765,2132.448,116.1682,33.83177,150,1,110.6853,3.891783,0,0,35.42296,0,1461.415,0.7307076,0.9147995,0.3172331,0,250,0.3172331,2016.279,0,0,10.28722,1.891813,21.86472,38.38977,36.29303,2.096738,73.8349,0,168.6786,0,7.105427e-15,-3.766987e-13,4.263256e-14,110.6853,3.891783,0,0,35.42296,0,0,7.105427e-15
tuned,2026-01-05 03:15:00,13,3.25,21.26697,3052.677,115.8768,3.165004,14.96449,1,1,2136.874,2136.557,116.1562,33.84379,150,1,111.4766,4.037307,0,0,34.48612,0,1469.807,0.7349034,0.9202318,0.3172331,0,250,0.3172331,2020.401,0,0,4.400241,0,14.96449,38.46373,36.36721,2.096522,72.74279,0,153.076,0,-7.105427e-15,1.330047e-13,4.263256e-14,111.4766,3.165004,0,0,34.48612,0.872303,0,1.332268e-15
tuned,2026-01-05 03:30:00,14,3.5,21.0807,3076.412,124.2967,5.072885,18.4998,1,1,2153.488,2153.171,116.1614,33.83864,150,1,111.7909,3.974999,0,0,34.23412,0,1478.134,0.739067,0.9255158,0.3172331,0,250,0.3172331,2037.009,0,0,12.5058,1.097886,18.4998,38.76279,36.66617,2.096615,73.62392,0,170.7142,0,0,2.750022e-13,4.263256e-14,111.7909,3.974999,0,0,34.23412,0,0,0
tuned,2026-01-05 03:45:00,15,3.75,21.0489,3045.783,105.7629,2.437861,12.79848,1,1,2132.048,2131.731,116.1553,33.84469,150,1,112.6246,4.048192,0,0,33.32721,0,1486.233,0.7431165,0.9307593,0.3172331,0,250,0.3172331,2015.575,0,0,0,0,12.79848,38.37686,36.28036,2.096506,72.28162,0,144.5632,0,0,1.776357e-13,4.263256e-14,105.7629,2.437861,0,0,33.32721,8.472037,0,3.552714e-15
tuned,2026-01-05 04:00:00,16,4,20.95672,3064.026,134.8272,0.7256559,22.90973,1,1,2144.818,2144.501,116.1636,33.83638,150,1,112.1957,3.947546,0,0,33.85671,0,1494.463,0.7472316,0.9358591,0.3172331,0,250,0.3172331,2028.338,0,0,22.63144,0,22.90973,38.60673,36.51008,2.096655,74.20022,0,187.4397,0,7.105427e-15,-4.155565e-13,4.263256e-14,112.1957,0.7256559,0,0,33.85671,3.22189,0,7.993606e-15
tuned,2026-01-05 04:15:00,17,4.25,20.83517,3053.982,144.7863,0,22.56459,1,1,2137.788,2137.47,116.1793,33.82073,150,1,113.527,3.758023,0,0,32.71497,0,1502.407,0.7512034,0.9410416,0.3172331,0,250,0.3172331,2021.291,0,0,31.25925,0,22.56459,38.48018,36.38324,2.096937,73.99116,0,201.9045,0,-1.421085e-14,1.764144e-13,4.263256e-14,113.527,0,0,0,32.71497,3.758023,0,3.552714e-15
tuned,2026-01-05 04:30:00,18,4.5,20.6648,3049.636,197.1286,0,24.32908,1,1,2134.745,2134.428,116.1965,33.80349,150,1,115.2636,3.549244,0,0,31.18713,0,1509.967,0.7549835,0.9460435,0.3172331,0,250,0.3172331,2018.231,0,0,81.86494,0,24.32908,38.42541,36.32816,2.097247,74.20219,0,289.6214,0,-1.421085e-14,3.279599e-13,4.263256e-14,115.2636,0,0,0,31.18713,3.549244,0,-6.661338e-15
