controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
tuned,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,613.0214,186.9786,800,2,200,100,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,1014.13,0,0,0,0,22.25681,38.28872,18.25434,20.03438,209.1651,0,418.3302,0,-2.842171e-14,-2.877698e-13,7.81597e-14
tuned,2026-01-05 00:15:00,1,0.25,22.98495,3081.58,91.55787,0.4407991,15.51661,1,1,2157.106,2156.63,468.2371,134.6974,602.9345,2,102.9345,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1688.393,0,0,0,0.4407991,15.51661,38.82791,30.39108,8.436832,167.8004,0,336.3612,0,-5.684342e-14,4.448664e-13,4.996004e-15
tuned,2026-01-05 00:30:00,2,0.5,22.82123,3121.968,92.7606,3.745211,21.24856,1,1,2185.378,2185.06,463.9725,133.4941,597.4666,2,97.24619,0.2203995,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1721.088,0,0,0,3.524811,21.24856,39.3368,30.97958,8.357216,168.1757,0,342.4317,0,5.684342e-14,-2.415845e-13,4.263256e-14
tuned,2026-01-05 00:45:00,3,0.75,22.53235,3118.345,112.982,9.738488,15.5018,1,1,2182.841,2182.524,116.3743,33.62566,150,1,95.751,1.395337,0,0,52.85367,0,1387.466,0.6937329,0.8654828,0.3172331,0,250,0.3172331,2066.15,0,0,17.23096,8.343151,15.5018,39.29115,37.1907,2.100448,73.50231,0,191.12,0,7.105427e-15,3.53384e-13,4.263256e-14
tuned,2026-01-05 01:00:00,4,1,22.26429,3110.083,121.0516,10.69027,26.80547,1,1,2177.058,2176.741,116.2021,33.79787,150,1,100.0587,3.481124,0,0,46.46014,0,1398.862,0.6994312,0.8736669,0.3172331,0,250,0.3172331,2060.539,0,0,20.99283,7.209142,26.80547,39.18704,37.08969,2.097349,75.50845,0,199.6653,0,0,-6.417089e-14,4.263256e-14
tuned,2026-01-05 01:15:00,5,1.25,22.03359,3096.894,106.2349,6.528911,22.44667,1,1,2167.826,2167.509,116.0831,33.91691,150,1,104.2573,4.922953,0,0,40.81975,0,1408.847,0.7044236,0.8808432,0.3172331,0,250,0.3172331,2051.426,0,0,1.977601,1.605958,22.44667,39.02087,36.92566,2.095206,74.69521,0,155.5721,0,0,4.416467e-13,4.263256e-14
tuned,2026-01-05 01:30:00,6,1.5,21.57527,3072.903,104.178,11.74712,16.21518,1,1,2151.032,2150.715,116.061,33.93901,150,1,104.5869,5.190613,0,0,40.22249,0,1418.681,0.7093405,0.8871304,0.3172331,0,250,0.3172331,2034.654,0,0,0,6.556503,16.21518,38.71858,36.62377,2.094808,73.322,0,157.954,0,-7.105427e-15,1.514344e-13,4.263256e-14
tuned,2026-01-05 01:45:00,7,1.75,21.36075,3112.375,98.39485,0,12.45814,1,1,2178.662,2178.345,115.9837,34.01634,150,1,104.5285,6.127256,0,0,39.34425,0,1428.294,0.7141469,0.8933226,0.3172331,0,250,0.3172331,2062.361,0,0,0,0,12.45814,39.21592,37.12251,2.093416,73.25028,0,146.5006,0,0,-2.13829e-13,4.263256e-14
tuned,2026-01-05 02:00:00,8,2,21.07252,3061.378,114.9408,6.041093,23.97991,1,1,2142.965,2142.648,116.0469,33.9531,150,1,103.7618,5.361349,0,0,40.87686,0,1438.288,0.7191441,0.8993756,0.3172331,0,250,0.3172331,2026.601,0,0,11.17897,0.6797445,23.97991,38.57337,36.47881,2.094554,74.47436,0,169.405,0,0,1.099121e-14,4.263256e-14
tuned,2026-01-05 02:15:00,9,2.25,21.33942,3051.959,102.2658,6.887105,24.62894,1,1,2136.371,2136.054,116.0407,33.95934,150,1,105.0039,5.436876,0,0,39.55923,0,1447.952,0.7239758,0.9056689,0.3172331,0,250,0.3172331,2020.013,0,0,0,1.450229,24.62894,38.45468,36.36024,2.094442,74.49209,0,151.4858,0,-7.105427e-15,-1.524336e-13,4.263256e-14
