controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,432.3672,124.3788,556.746,2,56.74595,0,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,1346.723,0,0,0,0,55.99831,498.9874,294.8535,204.1338,431.4926,0,862.9853,0,-4.263256e-14,-2.877698e-13,7.81597e-14,56.74595,0,0,0,500,2.696505e-08,0,-1.421085e-14
mpc,2026-01-05 00:15:00,1,0.25,33.20247,3267.547,47.76979,0,63.75339,1,1,2287.283,2286.807,425.3963,122.3735,547.7698,2,47.76979,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1861.411,0,0,9.437146e-08,0,63.75339,497.481,404.8544,92.62663,541.0941,0,1082.188,0,5.684342e-14,4.448664e-13,4.996004e-15,47.76979,0,0,0,500,0,0,5.684342e-14
mpc,2026-01-05 00:30:00,2,0.5,33.03106,3235.011,51.79997,4.110644,33.22831,1,1,2264.508,2264.19,431.3791,124.5315,555.9106,2,51.79997,4.110644,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1832.811,0,0,1.40644e-07,0,33.22831,490.5159,397.006,93.50992,528.7351,0,1057.47,0,0,-2.415845e-13,4.263256e-14,51.79997,4.110644,0,0,500,8.465066e-09,0,-8.881784e-16
mpc,2026-01-05 00:45:00,3,0.75,32.79322,3201.395,56.56748,2.191848,26.90758,1,1,2240.976,2240.659,433.7498,125.0095,558.7593,2,56.56748,2.191848,0,0,500,0,1499.252,0.7496262,0.8654828,0.3172331,0,250,0.3172331,1806.909,0,0,0,0,26.90758,482.6835,389.1899,93.49361,519.995,0,1039.99,0,7.105427e-14,3.53384e-13,4.263256e-14,56.56748,2.191848,0,0,500,4.871314e-07,0,5.195844e-14
mpc,2026-01-05 01:00:00,4,1,32.47743,3198.195,51.30221,3.777692,49.74903,1,1,2238.736,2238.419,430.7615,124.3184,555.0799,2,51.30221,3.777693,0,0,500,0,1624.016,0.8120082,0.9440573,0.3172331,0,250,0.3172331,1807.658,0,0,4.532915e-07,0,49.74903,478.6199,386.4595,92.16039,521.4138,0,1042.828,0,0,7.693846e-14,4.263256e-14,51.30221,3.777692,0,0,500,5.601373e-09,0,-2.220446e-14
mpc,2026-01-05 01:15:00,5,1.25,32.28589,3240.208,55.94951,6.274472,35.9778,1,1,2268.146,2267.828,436.1034,126.1206,562.224,2,55.94951,6.274472,0,0,500,0,1748.761,0.8743804,1.022619,0.3172331,0,250,0.3172331,1831.725,0,0,4.101111e-07,0,35.9778,482.7329,389.8488,92.88406,523.6266,0,1047.253,0,-5.684342e-14,1.070255e-13,4.263256e-14,55.94951,6.274472,0,0,500,4.959288e-08,0,-6.57252e-14
mpc,2026-01-05 01:30:00,6,1.5,32.22374,3190.189,60.9267,6.646545,27.08737,1,1,2233.132,2232.815,440.2269,127.3464,567.5732,3,60.9267,6.646545,0,0,500,0,1873.485,0.9367427,1.101169,0.3172331,0,250,0.3172331,1792.588,0,0,4.297385e-07,0,27.08737,474.5903,380.9649,93.62545,514.0679,0,1028.136,0,-4.263256e-14,4.056755e-13,4.263256e-14,60.9267,6.646545,0,0,500,5.416005e-09,0,-2.04281e-14
mpc,2026-01-05 01:45:00,7,1.75,32.12122,3170.411,53.56366,5.24665,28.18256,1,1,2219.288,2218.97,105.9033,44.0967,150,1,53.56366,5.24665,40.08726,51.10243,0,0,1873.191,0.9365953,1.179706,0.3172331,0,250,0.3172331,2113.067,28.18256,3.21666,3.391089e-07,0,0,470.5205,448.0002,22.52026,492.0969,0,980.5751,0,-1.421085e-14,-2.811085e-13,4.263256e-14,53.56366,5.24665,28.18256,0,0,3.467261e-09,5.158142e-08,-2.664535e-15
mpc,2026-01-05 02:00:00,8,2,31.81182,3137.399,59.27388,1.537075,26.9443,1,1,2196.179,2195.862,131.2953,37.93304,169.2284,1,59.27388,1.537075,0,0,108.4174,0,1900,0.95,1.179521,0.3172331,0,250,0.3172331,2064.566,0,0,0,0,26.9443,462.2854,434.5815,27.70383,478.1862,0,956.3725,0,-7.105427e-15,3.592682e-13,4.263256e-14,59.27388,1.537075,0,0,108.4174,1.483385e-07,0,5.551115e-15
mpc,2026-01-05 02:15:00,9,2.25,31.44127,3126.691,65.01409,3.711207,47.67062,1,1,2188.684,2188.367,0,0,0,0,0,0,0,0,0,68.7253,1882.52,0.9412598,1.196402,0.3172331,0,250,0.3172331,2188.367,0,0,1.764495e-07,1.439022e-08,47.67062,456.7885,456.7223,0.06620802,466.6714,0,933.3428,0,0,-2.153833e-14,4.263256e-14,65.01409,3.711207,0,68.7253,0,0,0,5.329071e-15
mpc,2026-01-05 02:30:00,10,2.5,31.16802,3146.429,52.19309,4.811811,38.07176,1,1,2202.5,2202.183,0,0,0,0,0,0,0,0,0,57.0049,1867.972,0.933986,1.185395,0.3172331,0,250,0.3172331,2202.183,0,0,3.169861e-07,0,38.07176,456.8064,456.7406,0.06579528,464.6369,0,929.2737,0,0,-3.557155e-13,4.263256e-14,52.19309,4.811811,0,57.0049,0,0,0,3.552714e-15
mpc,2026-01-05 02:45:00,11,2.75,30.99452,3132.134,52.56207,0,34.90272,1,1,2192.494,2192.177,120.0642,34.53878,154.603,1,52.56207,0,0,0,102.0409,0,1893.188,0.9465941,1.176235,0.3172331,0,250,0.3172331,2072.113,0,0,0,0,34.90272,452.9382,428.0691,24.8691,469.8183,0,939.6366,0,-7.105427e-15,1.818545e-13,4.263256e-14,52.56207,0,0,0,102.0409,3.719185e-07,0,-7.105427e-15
mpc,2026-01-05 03:00:00,12,3,30.52618,3164.241,59.70869,0,36.422,1,1,2214.969,2214.652,0,0,0,0,0,0,0,0,0,59.70869,1877.963,0.9389815,1.192113,0.3172331,0,250,0.3172331,2214.652,0,0,0,0,36.422,452.7626,452.6977,0.06484573,460.1428,0,920.2855,0,0,2.702283e-13,4.263256e-14,59.70869,0,0,59.70869,0,0,0,0
mpc,2026-01-05 03:15:00,13,3.25,30.34978,3185.407,60.66935,0,56.16577,1,1,2229.785,2229.467,116.4895,33.51046,150,1,60.66935,0,1.359209e-06,0,89.33065,0,1900,0.95,1.182526,0.3172331,0,250,0.3172331,2112.978,9.748268e-07,0,0,0,56.16577,453.9903,430.2082,23.78218,475.1541,0,950.3083,0,-1.421085e-14,2.930989e-13,4.263256e-14,60.66935,0,9.748268e-07,0,89.33065,4.086078e-07,0,0
mpc,2026-01-05 03:30:00,14,3.5,30.05445,3219.476,68.58676,0,61.7488,1,1,2253.633,2253.316,0,0,0,0,0,0,0,0,0,68.58676,1882.554,0.9412771,1.196402,0.3172331,0,250,0.3172331,2253.316,0,0,1.49855e-07,0,61.7488,455.831,455.7669,0.06416514,468.2565,0,936.513,0,0,-1.882938e-13,4.263256e-14,68.58676,0,0,68.58676,0,0,0,0
mpc,2026-01-05 03:45:00,15,3.75,29.84309,3279.249,67.64425,0,63.66362,1,1,2295.474,2295.157,0,0,0,0,0,0,0,0,0,67.64425,1865.347,0.9326734,1.185417,0.3172331,0,250,0.3172331,2295.157,0,0,0,0,63.66362,462.1208,462.057,0.0638648,474.8736,0,949.7472,0,0,-3.266276e-13,4.263256e-14,67.64425,0,0,67.64425,0,0,0,0
mpc,2026-01-05 04:00:00,16,4,29.67285,3251.919,65.40124,0,46.47114,1,1,2276.343,2276.026,0,0,0,0,0,0,0,0,0,65.40124,1848.703,0.9243514,1.174582,0.3172331,0,250,0.3172331,2276.026,0,0,0,0,46.47114,456.5482,456.4846,0.06362494,465.805,0,931.6099,0,0,5.173639e-14,4.263256e-14,65.40124,0,0,65.40124,0,0,0,0
mpc,2026-01-05 04:15:00,17,4.25,29.549,3244.713,81.02668,0,32.89256,1,1,2271.299,2270.982,0,0,0,0,0,0,0,0,0,81.02668,1828.155,0.9140776,1.164101,0.3172331,0,250,0.3172331,2270.982,0,0,0,0,32.89256,454.2952,454.2318,0.06345157,460.8108,0,921.6216,0,0,1.276756e-13,4.263256e-14,81.02668,0,0,81.02668,0,0,0,0
