controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,451.8394,129.9803,581.8197,2,81.81974,0,0,0,500,0,1124.843,0.5624213,0.6296853,500,0,249.9603,0.1586165,932.2088,0,0,2.634457e-07,0,28.67395,351.0231,173.6828,177.3403,309.0055,0,618.011,0,2.842171e-14,-2.877698e-13,7.81597e-14,81.81974,0,0,0,500,0,0,0
mpc,2026-01-05 00:15:00,1,0.25,26.04387,2701.172,68.87737,0,32.85648,1,1,1890.82,1890.345,441.7884,127.0889,568.8774,2,68.87737,0,0,0,500,0,1249.666,0.6248328,0.7082969,0.4757993,0,250,0.3171828,1448.556,0,0,0,0,32.85648,351.116,268.9897,82.12626,402.1799,0,804.3598,0,5.684342e-14,4.448664e-13,4.996004e-15,68.87737,0,0,0,500,2.360225e-07,0,2.842171e-14
mpc,2026-01-05 00:30:00,2,0.5,25.984,2674.276,74.68833,3.288515,17.88226,1,1,1871.993,1871.676,448.5835,129.3933,577.9769,2,74.68833,3.288515,0,0,500,0,1374.469,0.6872344,0.786896,0.3172331,0,250,0.3172331,1423.092,0,0,0,3.322795e-08,17.88226,347.1951,263.9383,83.25681,396.6482,0,793.2964,0,0,-2.415845e-13,4.263256e-14,74.68833,3.288515,0,0,500,1.925599e-07,0,-1.421085e-14
mpc,2026-01-05 00:45:00,3,0.75,25.85574,2646.486,81.56241,1.753479,14.99617,1,1,1852.541,1852.223,452.8566,130.4593,583.3159,2,81.56241,1.753479,0,0,500,0,1499.252,0.7496262,0.8654828,0.3172331,0,250,0.3172331,1399.367,0,0,4.676514e-07,0,14.99617,342.6907,258.8607,83.82997,392.0941,0,784.1881,0,5.684342e-14,3.53384e-13,4.263256e-14,81.56241,1.753479,0,0,500,1.69182e-08,0,4.72955e-14
mpc,2026-01-05 01:00:00,4,1,25.64712,2643.841,73.97063,3.022154,26.679,1,1,1850.689,1850.371,447.8413,129.1515,576.9928,2,73.97063,3.022154,0,0,500,0,1624.016,0.8120082,0.9440573,0.3172331,0,250,0.3172331,1402.53,0,0,3.512575e-07,0,26.679,340.9009,258.3491,82.55179,392.415,0,784.8299,0,0,7.693846e-14,4.263256e-14,73.97063,3.022154,0,0,500,4.481098e-09,0,-1.776357e-14
mpc,2026-01-05 01:15:00,5,1.25,25.55989,2678.572,80.67139,5.019577,20.0445,1,1,1875,1874.683,0,0,0,0,0,0,0,0,0,85.69097,1602.338,0.801169,1.022619,0.3172331,0,250,0.3172331,1874.683,0,0,0,2.03257e-08,20.0445,344.7698,344.7115,0.05833194,348.3972,0,696.7945,0,0,-2.908784e-13,4.263256e-14,80.67139,5.019577,0,85.69097,0,0,0,-5.329071e-15
mpc,2026-01-05 01:30:00,6,1.5,25.59874,2637.223,87.8478,5.317236,15.8401,1,1,1846.056,1845.739,0,0,0,0,0,0,0,0,0,93.16504,1578.794,0.7893972,1.008969,0.3172331,0,250,0.3172331,1845.739,0,0,1.777625e-07,0,15.8401,339.7145,339.6561,0.0583778,342.5711,0,685.1421,0,0,-3.552714e-14,4.263256e-14,87.8478,5.317236,0,93.16504,0,0,0,7.105427e-15
mpc,2026-01-05 01:45:00,7,1.75,25.59347,2620.873,77.23133,4.19732,16.61841,1,1,1834.611,1834.294,387.9519,112.0481,500,1,77.23133,4.19732,0,0,418.5713,0,1683.189,0.8415944,0.9941438,0.3172331,0,250,0.3172331,1446.342,0,0,0,0,16.61841,337.5724,266.1301,71.44237,381.236,0,762.4719,0,-2.842171e-14,1.717515e-13,4.263256e-14,77.23133,4.19732,0,0,418.5713,5.073144e-07,0,-2.664535e-15
mpc,2026-01-05 02:00:00,8,2,25.37715,2593.583,85.46466,1.22966,16.21975,1,1,1815.508,1815.191,455.5235,131.1708,586.6943,2,85.46466,1.22966,0,0,500,0,1807.924,0.9039619,1.059879,0.3172331,0,250,0.3172331,1359.667,0,0,2.378403e-07,4.162424e-08,16.21975,332.6012,249.0911,83.51005,383.2334,0,766.4669,0,2.842171e-14,-1.885159e-13,4.263256e-14,85.46466,1.22966,0,0,500,0,0,5.684342e-14
mpc,2026-01-05 02:15:00,9,2.25,25.09513,2584.732,93.74125,2.968965,26.79273,1,1,1809.312,1808.995,361.7681,104.3852,466.1533,1,93.74125,2.968965,0,0,369.4431,0,1900,0.95,1.138423,0.3172331,0,250,0.3172331,1447.227,0,0,1.846481e-07,0,26.79273,329.5929,263.6337,65.95919,372.8996,0,745.7992,0,-2.842171e-14,1.754152e-14,4.263256e-14,93.74125,2.968965,0,0,369.4431,4.946695e-06,0,-2.664535e-15
