controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
mpc,2026-01-05 00:00:00,0,0,23.54316,3038.787,102.9345,0,22.25681,1,1,2127.151,1627.151,0,0,0,0,0,0,0,0,0,102.9345,974.1089,0.4870545,0.6296853,500,0,249.9603,0.1586165,1627.151,0,0,0,0,22.25681,38.28872,29.28872,9,33.22084,0,66.44169,0,0,1.953993e-13,7.81597e-14,102.9345,0,0,102.9345,0,0,0,0
mpc,2026-01-05 00:15:00,1,0.25,23.30001,3049.71,86.65218,0,25.38681,1,1,2134.797,2134.322,0,0,0,0,0,0,0,0,0,86.65218,952.2926,0.4761463,0.6133821,0.4757993,0,250,0.3171828,2134.322,0,0,3.804878e-07,0,25.38681,38.42635,38.41779,0.008564387,42.8818,0,85.76359,0,0,1.886269e-13,4.996004e-15,86.65218,0,0,86.65218,0,0,0,0
mpc,2026-01-05 00:30:00,2,0.5,23.16047,3019.343,93.96274,5.754902,13.40248,1,1,2113.54,2113.223,0,0,0,0,0,0,0,0,0,99.71765,927.2132,0.4636066,0.5996447,0.3172331,0,250,0.3172331,2113.223,0,0,0,8.148907e-09,13.40248,38.04373,38.03802,0.005710195,40.38836,0,80.77672,0,0,1.34226e-13,4.263256e-14,93.96274,5.754902,0,99.71765,0,0,0,8.881784e-16
mpc,2026-01-05 00:45:00,3,0.75,22.95394,2987.969,102.6108,3.068588,10.96932,1,1,2091.578,2091.261,0,0,0,0,0,0,0,0,0,105.6794,900.6474,0.4503237,0.5838526,0.3172331,0,250,0.3172331,2091.261,0,0,3.201239e-06,0,10.96932,37.6484,37.64269,0.005710195,39.55871,0,79.11743,0,0,1.669775e-13,4.263256e-14,102.6108,3.068588,0,105.6794,0,0,0,0
mpc,2026-01-05 01:00:00,4,1,22.66877,2984.982,93.05983,5.288769,20.0448,1,1,2089.487,2089.17,0,0,0,0,0,0,0,0,0,98.3486,875.9185,0.4379593,0.5671245,0.3172331,0,250,0.3172331,2089.17,0,0,5.480781e-08,0,20.0448,37.61077,37.60506,0.005710195,41.08722,0,82.17443,0,0,-6.394885e-14,4.263256e-14,93.05983,5.288769,0,98.3486,0,0,0,3.552714e-15
mpc,2026-01-05 01:15:00,5,1.25,22.50703,3024.194,101.4898,8.78426,14.66543,1,1,2116.936,2116.619,0,0,0,0,0,0,0,0,0,110.2741,848.2121,0.424106,0.551553,0.3172331,0,250,0.3172331,2116.619,0,0,3.209039e-06,1.056997e-08,14.66543,38.10485,38.09914,0.005710195,40.63894,0,81.27789,0,0,-9.270362e-14,4.263256e-14,101.4898,8.78426,0,110.2741,0,0,0,0
mpc,2026-01-05 01:30:00,6,1.5,22.47374,2977.509,110.5182,9.305163,11.21037,1,1,2084.257,2083.939,0,0,0,0,0,0,0,0,0,119.8234,818.1227,0.4090614,0.5341067,0.3172331,0,250,0.3172331,2083.939,0,0,0,0,11.21037,37.51662,37.51091,0.005710195,39.45113,0,78.90226,0,0,-5.440093e-14,4.263256e-14,110.5182,9.305163,0,119.8234,0,0,0,-5.329071e-15
mpc,2026-01-05 01:45:00,7,1.75,22.39901,2959.05,97.16199,7.34531,11.69472,1,1,2071.335,2071.018,0,0,0,0,0,0,0,0,0,104.5073,791.8671,0.3959336,0.5151599,0.3172331,0,250,0.3172331,2071.018,0,0,0,0,11.69472,37.28403,37.27832,0.005710195,39.29949,0,78.59899,0,0,1.382228e-13,4.263256e-14,97.16199,7.34531,0,104.5073,0,0,0,-8.881784e-16
mpc,2026-01-05 02:00:00,8,2,22.1162,2928.239,107.5201,2.151905,11.25567,1,1,2049.767,2049.45,0,0,0,0,0,0,0,0,0,109.672,764.3245,0.3821622,0.4986271,0.3172331,0,250,0.3172331,2049.45,0,0,3.912122e-06,4.784243e-08,11.25567,36.89581,36.8901,0.005710195,38.82499,0,77.64998,0,0,-1.794676e-13,4.263256e-14,107.52,2.151905,0,109.672,0,0,0,1.776357e-15
mpc,2026-01-05 02:15:00,9,2.25,21.77095,2918.245,117.9325,5.195689,19.48444,1,1,2042.772,2042.454,0,0,0,0,0,0,0,0,0,123.1282,733.4221,0.366711,0.4812839,0.3172331,0,250,0.3172331,2042.454,0,0,0,1.463141e-10,19.48444,36.76989,36.76418,0.005710195,40.0919,0,80.1838,0,0,-1.580958e-13,4.263256e-14,117.9325,5.195689,0,123.1282,0,0,0,6.217249e-15
